episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC,state HOLD - BENCHMARK
0,1444,30809.9569210221,40,25,1,98,42784.0,7.5484764542936285,0,0,1.2696214219759927,1.2373037857802403,2.4376731301939056,0,0,0,0,87.50692520775624
1,1336,27935.285262994472,40,26,1,98,39397.99860550652,9.3562874251497,0,0,1.775021385799829,1.3366124893071003,2.2615483319076124,0,0,0,0,85.27053036783578
2,1101,18298.20058799812,40,25,2,96,32174.53241059069,6.575840145322434,0,0,0.9627611262488647,2.355434453527097,2.119285498032092,0,0,0,0,87.98667877686952
3,1409,32945.08508157179,40,19,0,100,58701.72217377511,5.069451485349285,0,0,0.6319916185068776,0.7975937003616207,1.710094967724492,0,0,0,0,91.79086822805773
4,1373,22499.589040713505,40,27,4,92,35015.99724087787,4.364390161913833,0,0,1.238164603058995,1.8936635105608157,1.9777018320354078,0,0,0,0,90.52607989243093
5,1012,19275.61211575756,40,23,0,100,35590.59851256912,8.044640781213673,0,0,0.8021390374331551,2.2959776796093934,3.16786793768891,0,0,0,0,85.68937456405489
6,2239,58204.06454536906,40,28,1,98,57431.85290699227,3.0184606223016237,0,0,1.0756290010421319,1.0681852017269613,1.354771475361024,0,0,0,0,93.48295369956826
7,1191,25028.059531457224,40,23,0,100,39740.0,3.753642514940485,0,0,0.35560823825751964,1.862004247542846,4.252481849162839,0,0,0,0,89.77626315009628
8,1366,31181.145093603856,40,23,0,100,47571.99999999999,1.787098441133408,0,0,0.34880716561880964,3.1048144001378004,4.758418740849195,0,0,0,0,90.00086125226076
9,1252,22473.701541857223,40,32,2,96,19680.0,5.421325878594249,0,0,0.8686102236421726,1.7571884984025559,1.2380191693290734,0,0,0,0,90.71485623003196
10,1402,32377.871006037334,40,22,0,100,52467.99999999999,2.3696306863211287,0,0,0.4834363607544776,1.517673165319385,2.2032017752417183,0,0,0,0,93.42605801236327
11,1217,24153.995656142455,40,26,1,98,33656.0,3.034393708181712,0,0,0.45780021129240517,1.2325390304026294,2.1246625190750086,0,0,0,0,93.15060453104824
12,1399,32698.156388983214,40,20,0,100,53718.27798404889,8.502501786990708,0,0,1.6154395997140818,2.283774124374554,3.448892065761259,0,0,0,0,84.14939242315941
13,1183,24812.097337332376,40,24,0,100,36970.0,3.608410819949282,0,0,0.80832628909552,2.340448013524937,3.9042688081149617,0,0,0,0,89.33854606931531
14,1487,34268.809258066074,40,32,0,100,23280.0,10.600201748486885,0,0,3.32044384667115,2.151983860121049,2.6143241425689308,0,0,0,0,81.31304640215198
15,1928,47446.35113248448,40,31,1,98,34486.0,3.526970954356847,0.011526048870447211,0,1.5848317196864912,0.6166436145689258,1.5790686952512676,0,0,0,0,92.68095896726602
16,1657,35489.39876559393,40,31,2,96,32916.0,6.229464225843224,0,0,2.9035070073090594,0.7510225977335211,2.212834439750553,0,0,0,0,87.90317172936363
17,1213,22840.129968641264,40,23,1,98,40352.0,6.871635711168228,0,0,0.4509965569080064,2.1579942776780947,2.453809223607003,0,0,0,0,88.06556423063867
18,1856,30389.903279076087,40,32,7,86,29536.000000000004,10.035021551724139,0,0,1.7914870689655171,0.5387931034482758,0.5118534482758621,0,0,0,0,87.1228448275862
19,1356,25697.794671253745,40,25,2,96,40046.0,5.353982300884956,0,0,0.8112094395280235,1.5585054080629304,2.7187807276302856,0,0,0,0,89.55752212389379
20,1083,19159.69642824078,40,18,1,98,48660.48642331223,5.8843280449928645,0,0,0.4071182741542853,2.358767732728952,3.11424494249979,0,0,0,0,88.23554100562413
21,1221,26039.35872505049,40,24,0,100,38545.99999999999,5.917280917280917,0,0,1.4844389844389843,1.346232596232596,3.0456592956592954,0,0,0,0,88.2063882063882
22,1732,36740.71310106791,40,30,3,94,34354.0,5.860277136258661,0,0,1.8244803695150118,0.825635103926097,0.6870669745958431,0,0,0,0,90.80254041570437
23,1357,31535.633005976117,40,18,0,100,58784.233661240025,4.71963555972399,0,0,0.3952569169960473,1.4939371608494671,1.9528371407516578,0,0,0,0,91.43833322167885
24,1502,29396.393259003227,40,30,4,92,29743.235403508388,5.872170439414114,0,0,0.8921438082556592,0.9853528628495339,0.7656458055925432,0,0,0,0,91.48468708388813
25,1163,23432.952379503866,40,20,1,98,48128.00000000001,5.554600171969046,0,0,0.3482373172828891,1.2209802235597593,1.3843508168529666,0,0,0,0,91.49183147033536
26,1401,31860.510579050388,40,25,0,100,41374.00000000001,5.229597906257435,0,0,0.8517725434213658,1.560789911967642,2.9978586723768736,0,0,0,0,89.35998096597667
27,1359,28443.64345911763,40,21,1,98,50820.0,5.727895898687116,0,0,0.7900546067154642,1.5917276635296855,2.374036636845979,0,0,0,0,89.51628519422175
28,1190,20913.995394473066,40,24,2,96,37017.99999999999,5.766806722689076,0,0,0.3676470588235294,2.7888655462184877,3.707983193277311,0,0,0,0,87.36869747899159
29,1572,38173.295896755604,40,26,0,100,46726.0,3.171573973100691,0,0,0.6043256997455471,0.9860050890585241,2.1628498727735366,0,0,0,0,93.07524536532169
30,1308,18444.51726842673,40,27,5,90,33696.435576593976,9.280169371912491,0,0,1.2173606210303456,0.8821453775582218,1.540813926135027,0,0,0,0,87.07951070336394
31,1511,33468.22990391006,40,28,1,98,35730.0,1.2960511802338406,0,0,0.3860577983675271,1.4725347452018531,1.2188396205603353,0,0,0,0,95.62651665563645
32,1239,20226.433691839145,40,29,3,94,25367.485739108317,15.518379925159588,0,0,1.7829627999119524,2.318585369432827,3.0596522121945857,0,0,0,0,77.32041969330105
33,1177,24664.72816405715,40,21,0,100,43394.0,4.243616688279748,0,0,0.3577337566516118,2.9781335241246705,3.4968474712695077,0,0,0,0,88.92366855967445
34,1376,21652.824211826177,40,29,4,92,32732.0,3.95745243128964,0,0,0.5880021141649048,0.8456659619450319,1.189217758985201,0,0,0,0,93.41966173361521
35,1160,19704.612295475137,40,27,2,96,29735.28743690403,8.309018567639257,0,0,1.8700265251989387,0.6498673740053049,1.4787798408488062,0,0,0,0,87.69230769230768
36,1284,19594.514452137686,40,28,4,92,32536.0,2.6869158878504673,0,0,0.3180166147455867,2.6674454828660434,4.056334371754932,0,0,0,0,90.27128764278297
37,1359,30508.540107265067,40,23,0,100,47295.91439995907,5.713543695623945,0,0,0.9133013028611003,2.077652252954162,3.7094749599619097,0,0,0,0,87.58602778859888
