episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC,state HOLD - BENCHMARK
0,1563,23422.530724018834,40,24,6,88,12254.0,9.964811260396672,0.7037747920665387,0,3.4868841970569417,1.2955854126679462,2.8950735764555344,0,0,0,0,81.65387076135636
1,1560,31259.607031594966,40,22,2,96,18440.0,7.927350427350427,0.021367521367521364,0,3.835470085470085,1.4743589743589745,1.282051282051282,0,0,0,0,85.4594017094017
2,2049,34367.54946129012,40,24,9,82,16187.999999999998,8.308931185944363,0.7686676427525623,0,4.538799414348463,0.4758418740849195,1.4153245485602732,0,0,0,0,84.49243533430942
3,1223,18481.67660536207,40,19,3,94,24122.000000000004,7.904061052057781,0,0,1.190151721631689,1.253747615153993,1.0538748069410373,0,0,0,0,88.5981648042155
4,1541,31968.49342717882,40,21,2,96,24502.0,2.8182071011402616,0,0,1.4925373134328357,0.6952813571892091,0.25957170668397145,0,0,0,0,94.73440252155372
5,2380,54696.52292537798,40,26,5,90,4396.000000000002,4.663865546218488,53.4873949579832,0,4.873949579831933,0.33613445378151263,1.4915966386554622,0,0,0,0,35.14705882352941
6,1390,21693.19514093571,40,22,4,92,19270.000000000004,7.793764988009592,0,0,2.8657074340527577,0.8872901678657074,2.158273381294964,0,0,0,0,86.29496402877699
7,1698,35058.34098666425,40,24,3,94,16669.409724113804,13.898704358068315,0.6183745583038869,0,3.960541813898705,1.0159010600706715,1.3545347467608952,0,0,0,0,79.15194346289752
8,1524,25338.45344042034,40,21,4,92,21146.0,10.095613048368953,0,0,4.086989126359205,0.8905136857892763,1.1623547056617922,0,0,0,0,83.76452943382077
9,1446,26760.61922907511,40,26,4,92,5600.000000000002,5.705394190871369,2.6970954356846475,0,8.506224066390041,0.48409405255878285,0.44951590594744123,0,0,0,0,82.15767634854772
10,1467,26100.88850883529,40,23,3,94,14304.000000000002,5.576005453306066,0.2862985685071575,0,2.8629856850715747,2.208588957055215,2.9175187457396046,0,0,0,0,86.14860259032038
11,1217,21464.954282675717,40,23,2,96,14488.000000000004,5.538208709942481,0,0,2.7773212818405915,0.9531635168447001,3.023829087921117,0,0,0,0,87.70747740345111
12,1866,39133.4636612878,40,25,3,94,7902.000000000001,13.754912468738834,29.260450160771704,0,8.842443729903536,0.16077170418006434,0.5359056806002144,0,0,0,0,47.44551625580564
13,1368,25585.35192531074,40,19,2,96,24174.0,10.891812865497077,0.024366471734892786,0,2.599090318388564,1.803118908382066,3.143274853801169,0,0,0,0,81.53833658219622
14,1704,27663.857960249567,40,23,7,86,16990.000000000004,4.096244131455399,0,0,1.42018779342723,0.2934272300469484,0.4107981220657277,0,0,0,0,93.7793427230047
15,1625,24840.39992892977,40,24,6,88,15694.0,6.061538461538462,3.523076923076923,0,3.753846153846154,0.6307692307692307,2.569230769230769,0,0,0,0,83.46153846153845
16,1807,30569.76402972161,40,26,7,86,4919.999999999999,11.676812396236857,30.16048699501937,0,10.763696734919758,1.770890979524073,1.1068068622025455,0,0,0,0,44.5213060320974
17,1971,38748.316177054345,40,26,6,88,5186.0,19.00050735667174,34.018264840182646,0,11.26331811263318,0.20294266869609334,0.17757483510908167,0,0,0,0,35.33739218670725
18,1903,31402.570936023683,40,26,8,84,3580.000000000002,11.403047819232789,52.548607461902265,0,9.616395165528115,0.4203888596952181,0.7356805044666316,0,0,0,0,25.275880189174984
19,1477,26806.05396536822,40,24,3,94,11664.0,7.718348002708193,0.016926201760324982,0,4.231550440081246,1.2694651320243737,2.2342586323628977,0,0,0,0,84.52945159106298
20,1789,20079.415284817547,40,26,11,78,3488.0,17.04863051984349,50.19564002235886,0,7.1548351034097255,1.0620458356623812,1.0620458356623812,0,0,0,0,23.476802683063163
21,2667,66205.24583111359,40,23,4,92,26566.000000000004,5.579302587176603,0.0074990626171728535,0,3.764529433820772,0.38245219347581555,1.2223472065991752,0,0,0,0,89.04386951631045
22,1336,29512.59989457588,40,18,0,100,26201.49531392824,8.7874251497006,0,0,3.5104790419161676,1.908682634730539,2.282934131736527,0,0,0,0,83.51047904191617
23,1768,32796.82811486885,40,24,4,92,13232.000000000004,11.213235294117647,5.656108597285068,0,5.528846153846155,0.7918552036199095,1.583710407239819,0,0,0,0,75.22624434389141
24,1667,17960.965536614025,40,24,11,78,13216.000000000002,4.064187162567486,0.1949610077984403,0,1.6346730653869224,0.7048590281943612,0.7198560287942412,0,0,0,0,92.68146370725856
25,1433,27685.18885746124,40,18,2,96,28375.96568861411,9.67201674808095,0,0,3.810188415910677,0.7466852756454988,1.01884159106769,0,0,0,0,84.75226796929518
26,1850,34995.88708444901,40,22,5,90,25660.0,4.801801801801801,0,0,2.045045045045045,0.882882882882883,1.5765765765765767,0,0,0,0,90.69369369369369
27,1875,38284.77506086375,40,25,4,92,8172.0,17.813333333333333,26.684444444444445,0,11.484444444444444,0.6755555555555555,0.14222222222222222,0,0,0,0,43.2
28,1865,35645.30630185287,40,25,5,90,8432.0,14.888293118856119,23.270777479892757,0,9.222520107238605,1.3762287756925826,2.520107238605898,0,0,0,0,48.72207327971403
29,1762,40606.54960288366,40,18,1,98,38382.0,3.3257661748013625,0,0,1.0329171396140748,0.9648127128263336,1.2088535754824064,0,0,0,0,93.46765039727582
30,1426,28224.92156013027,40,23,2,96,14186.0,8.55539971949509,0.1402524544179523,0,1.7671809256661992,0.37868162692847124,0.6171107994389902,0,0,0,0,88.54137447405328
31,1595,19897.09996664627,40,20,8,84,25338.000000000004,3.910658307210032,0,0,1.9278996865203761,0.7131661442006271,0.8463949843260188,0,0,0,0,92.60188087774294
32,1810,36274.296454699805,40,24,4,92,14468.000000000004,9.281767955801104,0,0,2.486187845303867,0.08287292817679559,0.511049723756906,0,0,0,0,87.63812154696134
33,1557,18001.738951781917,40,23,8,84,15466.0,11.034039820166987,0.025690430314707767,0,4.393063583815029,0.6422607578676944,1.0789980732177264,0,0,0,0,82.82594733461787
34,1571,20708.221509789666,40,24,8,84,12513.999999999998,5.299172501591343,0,0,1.5436028007638445,0.42966263526416293,1.2253341820496497,0,0,0,0,91.50222788033099
