episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC,state HOLD - BENCHMARK
0,1126,15977.8626593879,28,22,1,97,39099.99999999999,2.4866785079928952,0,0,0.16281823564239195,3.5425300967041635,4.539175054272745,0,0,0,0,89.2687981053878
1,1025,13726.571479645118,28,15,0,100,50034.0,2.458536585365854,0,0,0.13268292682926836,2.372682926829269,3.7619512195121954,0,0,0,0,91.2741463414634
2,1140,15620.189453104284,28,19,0,100,45635.99999999999,1.695906432748538,0,0,0.22556390977443608,4.686716791979949,5.158730158730158,0,0,0,0,88.23308270676691
3,1027,11002.34478378123,28,18,1,97,43462.0,4.718066743383199,0,0,0.15933433654952645,3.8195981233955916,3.885987430291227,0,0,0,0,87.41701336638047
4,1242,18533.07923642555,28,14,0,100,62609.99999999999,2.7189396754614146,0,0,0.17341756472191255,3.0564845782237087,3.558156819026384,0,0,0,0,90.49300136256657
5,1143,16168.158429802996,28,13,0,100,62674.0,2.835293736431094,0,0,0.08748906386701663,2.1580635753864104,3.152846634911376,0,0,0,0,91.76630698940409
6,1320,17969.103009411465,28,22,1,97,46158.00000000003,2.65993265993266,0,0,0.37037037037037046,2.8661616161616164,4.84006734006734,0,0,0,0,89.263468013468
7,1162,16693.40545574412,28,19,0,100,45468.0,2.290795836406852,0,0,0.16801901483484954,6.83550528645193,5.0528645193016954,0,0,0,0,85.65281534300468
8,1215,17749.643369387817,28,17,0,100,54626.0,2.161388441581678,0,0,0.3399534800500983,2.2615852567543384,3.9541957416353553,0,0,0,0,91.2828770799785
9,1023,13292.482574696489,28,17,0,100,47994.00000000001,3.051553402184538,0,0,0.13175230566534915,2.154787708784904,3.4255599472990776,0,0,0,0,91.23634663606612
10,1376,21368.51895216749,28,20,0,100,53506.0,2.325581395348837,0,0,0.13808139534883723,2.787063953488372,4.3204941860465125,0,0,0,0,90.42877906976744
11,1551,25565.075823908723,28,15,0,100,79076.0,2.029658284977434,0,0,0.22179239200515793,1.9987105093488071,1.9368149580915537,0,0,0,0,93.81302385557704
12,1361,21419.772380387345,28,23,0,100,46992.0,1.9449366815058131,0,0,0.2117819942084108,3.747244673034533,3.8207200587803087,0,0,0,0,90.27531659247094
13,1082,14711.224646845929,28,17,0,100,48080.0,3.2267138149963834,0,0,0.19689785421522138,3.3995017278791293,5.231857269147313,0,0,0,0,87.94502933376197
14,1328,21018.060987611014,28,14,0,100,67064.86298174303,2.0707831325301207,0,0,0.18246061167747918,2.873030583873958,2.78904077849861,0,0,0,0,92.08468489341985
15,1419,22353.052390165598,28,24,0,100,46820.00000000001,0.9337561663143059,0,0,0.09689922480620156,3.0303030303030303,3.5896758280479206,0,0,0,0,92.34936575052855
16,1092,14550.984837482181,28,15,0,100,55268.0,3.205128205128205,0,0,0.09157509157509158,2.578754578754579,5.527472527472527,0,0,0,0,88.5970695970696
17,1325,20473.816296067096,28,15,0,100,64872.00000000001,2.061886792452831,0,0,0.09056603773584905,2.0799999999999996,3.344905660377358,0,0,0,0,92.42264150943399
18,1146,16366.016976260473,28,17,0,100,53113.99999999999,2.268760907504363,0,0,0.17452006980802787,3.4866074815995147,4.5678731314970795,0,0,0,0,89.50223840959103
19,1245,18708.392174310724,28,21,0,100,45896.0,1.2978228704290848,0,0,0.14796026210103574,2.9887972944409222,4.696681462692877,0,0,0,0,90.86873811033607
20,1396,21847.432269200817,28,21,1,97,52222.0,1.6362539586789322,0,0,0.2940732921128035,1.5570803800331774,3.117930930478058,0,0,0,0,93.39466143869704
21,1305,19352.341555737596,28,21,0,100,50856.0,3.5329703569267994,0,0,0.28634805404315383,2.339181286549707,2.1939907239362775,0,0,0,0,91.64750957854406
22,1148,16111.590030200936,28,23,0,100,40098.0,1.634556261529002,0,0,0.1332240213158434,2.7977044476327113,5.159868825579012,0,0,0,0,90.27464644394342
