episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC,state HOLD - BENCHMARK
0,2415,48383.382233794895,40,24,7,86,16662.0,7.080745341614907,13.592132505175986,0,2.815734989648033,0.16563146997929606,0.7763975155279503,0,0,0,0,75.56935817805382
1,2284,42408.36518704901,40,18,8,84,45414.0,4.006129597197898,0,0,1.1295971978984238,0.5823117338003503,0.17513134851138354,0,0,0,0,94.10683012259194
2,2926,63484.05405893139,40,26,7,86,10704.000000000002,1.6233766233766234,39.13192071086808,0,3.4859876965140124,1.2816131237183868,0.18796992481203006,0,0,0,0,54.289131920710865
3,2323,43013.947066415625,40,16,8,84,51856.0,4.964844310518009,5.406084086669536,0,0.3013344812742143,1.5820060266896254,0.9327019658487588,0,0,0,0,86.81302912899986
4,1906,43587.03619645456,40,17,1,98,41650.0,5.556615472670037,0,0,1.9984737193551463,0.6725174091386052,0.9968520461699896,0,0,0,0,90.77554135266622
5,2888,58978.855101331945,40,25,8,84,19108.0,9.787626962142198,21.168051708217913,0,2.1814404432132966,1.4542936288088644,2.042936288088643,0,0,0,0,63.365650969529085
6,2916,71926.35050089579,40,23,3,94,34788.0,2.94238683127572,0,0,2.5994513031550066,0.541838134430727,0.39094650205761317,0,0,0,0,93.52537722908095
7,4177,104508.10848088456,40,24,6,88,25350.0,3.339717500598516,23.575532678956186,0,3.291836246109648,0.5626047402441944,0.8858032080440508,0,0,0,0,68.34450562604741
8,2895,65220.91471080902,40,21,6,88,40286.0,4.307920059215397,0,0,1.8998272884283245,0.6020231926967679,0.39970392301998525,0,0,0,0,92.79052553663952
9,2435,58621.13674353876,40,20,2,96,38792.0,3.7371663244353184,0,0,1.817248459958932,0.4312114989733059,0.6776180698151951,0,0,0,0,93.33675564681725
10,2928,62117.94292931054,40,25,8,84,10304.0,6.136156648451731,41.313752276867035,0,4.018670309653916,0.03415300546448088,0.25045537340619306,0,0,0,0,48.24681238615665
11,2869,65736.75381630297,40,18,5,90,62848.0,4.395259672359708,0,0,1.4883234576507494,0.4112931334959916,0.38689438828860223,0,0,0,0,93.31822934820494
12,4178,100632.162814012,40,26,7,86,18318.0,4.2005744375299185,26.95069411201532,0,2.680708472953566,0.20344662517951173,0.4427955959789373,0,0,0,0,65.52178075634275
13,2335,48154.77746096111,40,20,5,90,37148.0,9.625267665952892,0,0,1.3758029978586725,0.5674518201284797,1.0653104925053531,0,0,0,0,87.36616702355461
14,3212,80071.59760632645,40,20,5,90,51246.0,3.5452988792029876,0.046699875466998754,0,0.9729140722291408,0.2373910336239103,0.3580323785803238,0,0,0,0,94.83966376089664
15,2345,48059.60694271186,40,19,6,88,41988.0,4.231224828239753,0,0,2.155887230514096,0.5259417199715708,0.3885335228618811,0,0,0,0,92.6984126984127
16,3420,82367.2851818098,40,26,7,86,5141.999999999999,2.2660818713450293,62.26608187134502,0,3.2017543859649122,0.14619883040935672,0.40935672514619886,0,0,0,0,31.710526315789476
17,3404,75548.05982367166,40,25,10,80,20198.0,4.240109674892284,0,0,2.1151586368977675,1.1065413239326283,1.0967489228358793,0,0,0,0,91.44144144144144
18,3410,76544.14056042688,40,23,10,80,34072.0,1.2551319648093842,0,0,1.67741935483871,0.08211143695014664,0.052785923753665684,0,0,0,0,96.9325513196481
19,3420,82511.49711938637,40,26,7,86,5304.0,11.564327485380117,61.067251461988306,0,3.2602339181286553,0.16081871345029242,0.19005847953216376,0,0,0,0,23.757309941520468
20,2553,53900.40747847654,40,18,6,88,50852.0,4.735605170387779,0,0,1.519780650215433,0.40736388562475523,0.09400705052878966,0,0,0,0,93.24324324324323
21,3420,55690.91787695304,40,26,17,66,3850.0,3.245614035087719,71.6374269005848,0,1.461988304093567,0.21929824561403508,0,0,0,0,0,23.43567251461988
22,3483,76585.64690210053,40,23,11,78,34416.0,2.4289405684754524,0,0,1.6250358886017802,1.1886304909560723,0.9474590869939707,0,0,0,0,93.80993396497271
23,2835,75987.24473753397,40,19,1,98,50303.13573682558,3.9584558103076617,0,0,2.0458553791887124,1.0699588477366255,1.3560650597687636,0,0,0,0,91.56966490299824
24,2404,59064.23080386997,40,20,2,96,42918.0,5.126871880199666,0,0,1.9602745424292847,0.8995424292845258,0.540765391014975,0,0,0,0,91.47254575707153
25,3387,85462.28391866002,40,24,4,92,33690.0,3.8972542072630647,0,0,3.2255683495718923,0.41334514319456744,0.3395335104812518,0,0,0,0,92.12429878948923
26,2458,52588.22350922296,40,23,6,88,24438.0,1.6273393002441008,0,0,1.9121236777868182,0.5777054515866559,0.048820179007323036,0,0,0,0,95.83401139137509
27,2565,57890.875813683655,40,17,5,90,56064.0,3.1720715931242247,0,0,1.7189438242069819,0.6485911749069643,0.27644869750132905,0,0,0,0,94.1839447102605
28,2925,67962.41858967778,40,25,5,90,7638.000000000002,9.960113960113961,56.23931623931624,0,7.0085470085470085,0.23931623931623933,0.09116809116809117,0,0,0,0,26.46153846153846
29,2620,54578.05192453888,40,19,7,86,46696.74026334353,3.7955894826123844,0,0,1.327396098388465,0.9372349448685326,0.2926208651399491,0,0,0,0,93.64715860899068
30,4109,103092.73886375308,40,23,5,90,40900.0,4.755414942808469,0,0,2.102701387198832,0.4623996106108542,0.9004623996106109,0,0,0,0,91.77902165977123
31,2419,54229.1194903956,40,21,4,92,33642.0,2.893757751136833,0.02362251225417823,0,1.1575031004547334,0.6378078308628123,0.6023740624815448,0,0,0,0,94.68493474280992
32,2332,51536.44022278487,40,18,4,92,46356.0,3.975128644939965,0,0,1.7667238421955405,0.6089193825042882,0.9777015437392795,0,0,0,0,92.67152658662093
33,3079,63000.74618164815,40,21,11,78,42938.0,2.143553101656382,0,0,2.134273650999861,0.38973692757388767,0.3711780262608454,0,0,0,0,94.96125829350903
34,2926,59910.17324969513,40,21,9,82,40514.0,4.765159652377697,0.03905868567522703,0,1.4451713699834,1.0594668489405332,0.8153500634703642,0,0,0,0,91.87579337955279
35,3532,90381.65885185092,40,25,3,94,27854.0,2.9916949792374483,0.8305020762551907,0,2.7085692714231784,0.7455643639109097,0.8116270290675727,0,0,0,0,91.91204228010571
36,3420,73243.59742757521,40,26,10,80,7330.0,2.06140350877193,45.97953216374269,0,3.4649122807017543,0.4385964912280702,0,0,0,0,0,48.05555555555556
37,2918,51245.12397736323,40,22,12,76,34990.0,7.3395019419693845,0,0,2.10189627598812,0.07425177061914554,0.06854009595613435,0,0,0,0,90.41580991546722
38,2857,73057.18330948507,40,18,3,94,56932.0,4.1477073853692685,0,0,2.4431221561078056,0.36401820091004555,0.3430171508575429,0,0,0,0,92.70213510675535
39,3371,82349.24501429017,40,24,5,90,26898.0,3.3817858202313853,0,0,2.239691486205874,0.2595668940967072,0.36339365173539007,0,0,0,0,93.75556214773064
40,5000,122158.08451173162,39,26,11,78,4776.0,2.06,75.71000000000001,0,1.94,0.41000000000000003,0,0,0,0,0,19.88
41,3339,88869.30465012441,40,19,2,96,59776.0,2.8152141359688527,0,0,1.2844830454893348,0.5424112342351337,1.0648564107683605,0,0,0,0,94.29303517353833
42,3420,74583.72743949782,40,26,9,82,6848.0,8.216374269005847,48.9766081871345,0,2.4707602339181287,0.9649122807017543,0.48245614035087725,0,0,0,0,38.888888888888886
