episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC,state HOLD - BENCHMARK
0,1133,15915.601803240403,28,22,0,100,42500.0,1.5543787388447583,0,0,0.3138177895459446,1.3141119937236447,1.7358046484260075,0,0,0,0,95.08188682945962
1,760,6015.7769038286,28,15,1,97,38222.82562448904,6.015789473684211,0,0,0.27368421052631553,2.610526315789474,1.5157894736842104,0,0,0,0,89.5842105263158
2,1205,15118.87670483065,28,17,1,97,53996.0,2.172108966263756,0,0,0.4474111491971857,2.5870467255998557,2.9731192495038785,0,0,0,0,91.8203139094353
3,1608,23541.20532295224,28,18,1,97,70098.0,3.3666892808683855,0,0,0.10459068294889193,0.9243554952510177,1.0091587516960654,0,0,0,0,94.59520578923564
4,1105,10683.893438722522,28,16,2,94,53420.67083182952,3.906485671191554,0,0,0.10558069381598793,3.3257918552036196,0.8597285067873303,0,0,0,0,91.8024132730015
5,1284,19648.321840064527,28,12,0,100,71050.20148497084,4.008121940364931,0,0,0.4867601246105918,1.0653093012906096,0.7621272808188694,0,0,0,0,93.677681352915
6,1318,16017.834171404196,28,19,2,94,53738.958005812325,3.6274297275814726,0,0,0.15535804610159687,2.388178336585013,1.0477635667317002,0,0,0,0,92.78127032300021
7,1649,23928.925088137938,28,19,2,94,71540.0,1.9578965606861303,0,0,0.5255710531635331,1.461203037916197,0.8605504057293022,0,0,0,0,95.19477894250481
8,1216,17187.739326444873,28,17,0,100,57003.41928520168,1.9200514874141876,0,0,0.15017162471395878,2.377717391304348,2.166762013729977,0,0,0,0,93.38529748283754
9,1665,25072.481899902305,28,18,1,97,72156.0,1.5670215670215668,0,0,0.10920010920010927,1.506961506961507,1.9628719628719633,0,0,0,0,94.85394485394488
10,1144,13630.203909777862,28,15,1,97,55897.99999999999,3.0034965034965033,0,0,0.26573426573426556,2.276223776223776,2.7062937062937062,0,0,0,0,91.74825174825176
11,1160,12289.238003551627,28,15,2,94,57020.778813311044,4.43448275862069,0,0,0.9758620689655174,1.393103448275862,0.6965517241379312,0,0,0,0,92.5
12,1096,15310.676552663428,28,16,0,100,53384.31470918817,3.873935523114355,0,0,0.7679440389294401,2.6117700729927007,2.159367396593674,0,0,0,0,90.58698296836982
13,1658,24773.580859336314,28,22,1,97,62392.0,2.1779922262431306,0,0,0.3752848143680472,1.0253317249698433,0.7137112987535184,0,0,0,0,95.70767993566547
14,1151,13818.296462499957,28,14,1,97,58710.03341282511,3.3950411013834123,0,0,0.4845285036423177,1.8311835861792423,1.4301944797166344,0,0,0,0,92.8590523290784
15,1632,27202.453131146674,28,20,0,100,67649.90808339728,1.0018382352941178,0,0,0.3829656862745098,1.2377450980392157,1.0968137254901962,0,0,0,0,96.28063725490198
16,1168,15641.834095970748,28,20,0,100,46242.00000000001,3.6643835616438354,0,0,0.42808219178082185,1.0231164383561642,1.7080479452054793,0,0,0,0,93.1763698630137
17,1158,15983.747926869579,28,16,0,100,53926.0,0.7196315486470927,0,0,0.08635578583765112,2.982872769142199,3.2527345998848585,0,0,0,0,92.9584052964882
18,1213,17180.87462293666,28,15,0,100,58748.989183104815,3.046990931574608,0,0,0.24732069249793898,2.9315746084089027,3.910964550700742,0,0,0,0,89.8631492168178
19,1291,17017.32509453904,28,16,1,97,60411.65748280639,3.2984766331009547,0,0,0.25174283501161887,2.3754195713916864,2.01717015233669,0,0,0,0,92.05719080815906
20,1611,24137.037961996157,28,19,1,97,66902.0,2.550914841417635,0,0,0.3014986255209719,1.123230173509503,0.6296000709408531,0,0,0,0,95.39475628861103
21,1662,26234.58278167072,28,22,1,97,58828.0401673851,3.376119802112582,0,0,0.9392966974194418,1.5342960288808665,0.9158978473057895,0,0,0,0,93.23438962428132
22,1670,25849.630123792816,28,22,1,97,62398.0,1.2608117099135063,0,0,0.46573519627411836,1.7498336660013307,2.055888223552895,0,0,0,0,94.46773120425814
23,1383,15278.679284002832,28,21,2,94,54514.0,1.7581915743806371,0,0,0.30064314800015224,1.457548426380485,2.211059101115044,0,0,0,0,94.27255775012368
24,1573,25410.331264481047,28,21,0,100,59130.0,1.401947334961689,0,0,0.2977883360658479,1.0773915080135177,1.4822498076086594,0,0,0,0,95.74062301335029
25,1110,13062.385759458793,28,13,1,97,58332.0,3.1331331331331334,0,0,0.423757090423757,2.682682682682683,1.1945278611945278,0,0,0,0,92.56589923256593
26,1632,19452.45351373653,28,29,3,91,38484.0,0.9413992869875223,0,0,0.10026737967914438,1.8772281639928696,1.6989750445632796,0,0,0,0,95.3821301247772
27,1266,17600.46920717309,28,20,1,97,49823.93759183238,2.6461295418641386,0,0,0.48973143759873633,1.5521327014218012,1.1729857819905212,0,0,0,0,94.1390205371248
28,1183,15473.250622648793,28,11,0,100,67610.0,2.652519893899204,0,0,0.18363599265456026,1.4632582271839565,2.8769638849214445,0,0,0,0,92.82362200134082
29,1150,14672.009201364828,28,15,0,100,56722.0,4.142608695652174,0,0,1.0817391304347828,1.3530434782608693,1.2973913043478262,0,0,0,0,92.12521739130435
30,1206,16614.606069345584,28,20,0,100,49246.0,1.6127694859038142,0,0,0.31094527363184077,2.815091210613599,2.8358208955223883,0,0,0,0,92.42537313432835
31,1184,15543.502681047195,28,18,0,100,50527.99999999999,2.123003685503686,0,0,0.31480343980343967,3.0098280098280097,3.639434889434889,0,0,0,0,90.91292997542998
32,1230,13207.04629144575,28,18,2,94,53339.77333553646,4.696969696969696,0,0,0.3178122690317814,1.3673318551367333,1.8514412416851442,0,0,0,0,91.76644493717663
33,1176,16534.09926667305,28,12,0,100,66755.49362523144,4.707240038872691,0,0,0.10932944606414,1.8251943634596697,1.7310495626822158,0,0,0,0,91.62718658892129
34,1675,22908.77891227016,28,19,2,94,72294.0,2.334044065387349,0,0,0.07391613361762615,1.953091684434968,1.8194740582800284,0,0,0,0,93.81947405828002
35,1327,15511.820100428882,28,17,2,94,62598.74490946496,4.206939484289506,0,0,0.547164247567249,1.3990367288096723,0.6225221978310016,0,0,0,0,93.22433734150258
36,1282,17065.6496546294,28,16,1,97,60294.82817705933,6.233749349973998,0,0,0.38351534061362436,1.7193187727509103,1.5275611024440976,0,0,0,0,90.13585543421736
37,1389,20780.917615564926,28,20,0,100,53997.0149305631,6.997840172786177,0.0251979841612671,0,0.7595392368610507,2.7213822894168467,1.1195104391648667,0,0,0,0,88.37652987760981
38,1237,17619.137182026137,28,14,0,100,63316.00000000001,2.804551955724147,0,0,0.3295814936882036,1.567066724706175,1.6447982090666005,0,0,0,0,93.65400161681485
39,1109,12465.585281354553,28,14,1,97,56774.0,2.368731358812513,0,0,0.2150239300825413,1.5502531733370328,0.8774363598529513,0,0,0,0,94.98855517791496
40,1676,27099.54584526463,28,16,0,100,79610.0,1.615950676213206,0,0,0.45992442322991267,1.0416666666666667,0.885043754972156,0,0,0,0,95.99741447891806
41,1604,24427.635443320698,28,20,0,100,63346.0,2.381546134663342,0,0,0.49563591022443887,1.2687032418952617,1.6022443890274316,0,0,0,0,94.25187032418955
42,1774,31068.73015167362,28,20,1,97,69970.0,0.786358511837655,0,0,0.10710259301014652,1.3951521984216457,1.0428410372040586,0,0,0,0,96.6685456595265
43,1191,17293.76071826086,28,21,0,100,44387.99999999999,0.9545273763754474,0,0,0.09722038092712894,1.9223120774227767,2.6956560166158474,0,0,0,0,94.33028414865879
