episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC,state HOLD - BENCHMARK
0,1131,15980.717584338418,28,22,0,100,14145.698297466717,1.5473032714412025,0,0,0.08841732979664012,3.5366931918656057,4.6369977404460165,0,0,0,90.19058846645054,0
1,1212,18546.14611600744,28,15,0,100,16885.74681739953,1.9735973597359735,0,0,0.12211221122112208,2.432343234323433,4.155115511551156,0,0,0,91.31683168316832,0
2,1273,18999.104118306295,28,19,0,100,20494.729222804544,2.06486365166648,0,0,0.1084801556129129,2.790558485766655,5.154677739123929,0,0,0,89.88141996783003,0
3,1650,28132.595135255753,28,18,0,100,20465.900523301647,1.5013774104683195,0,0,0.06060606060606061,2.242424242424242,3.7933884297520657,0,0,0,92.40220385674931,0
4,1089,14595.097457314747,28,14,0,100,24753.495887493937,3.796708342162888,0,0,0.09182736455463733,3.323444232535141,6.4420428056791685,0,0,0,86.34597725506818,0
5,1142,16514.089408560947,28,13,0,100,24881.65983070247,1.7415839657520917,0,0,0.1394564441849906,2.8215606149056236,5.792307193357982,0,0,0,89.50509178179932,0
6,1131,15313.68648917914,28,23,0,100,15076.874063451456,1.139023248556717,0,0,0.08841732979664012,3.9631767826493993,6.709315025745046,0,0,0,88.10006761325221,0
7,1138,15862.369122120535,28,18,0,100,19636.49897235229,2.6042498801725515,0,0,0.2037066624061352,3.602811950790861,6.059274644511904,0,0,0,87.52995686211854,0
8,1150,16154.12369591382,28,17,0,100,19655.08564122932,1.3724007561436673,0,0,0.08695652173913042,2.7485822306238186,5.349716446124765,0,0,0,90.44234404536861,0
9,1156,16219.247254439748,28,16,0,100,21072.618972506247,3.042099192618223,0,0,0.09371395617070358,2.5591118800461365,5.046136101499423,0,0,0,89.25893886966551,0
10,1361,21256.363763545807,28,21,0,100,18529.023895152783,1.1640047952357013,0,0,0.07347538574577517,3.024092192273483,5.197416760122201,0,0,0,90.54101086662283,0
11,1106,15046.500436883527,28,14,0,100,21357.874265412294,3.0254555571011266,0,0,0.0904159132007233,3.234107664487412,5.404089581304771,0,0,0,88.24593128390597,0
12,1489,23445.67848629899,28,22,0,100,18271.941275917146,1.1081262592343855,0,0,0.06715916722632641,3.137825535407806,5.1600626818894115,0,0,0,90.52682635624208,0
13,1182,16941.331965170808,28,19,0,100,16758.78275698274,0.7694786882604142,0,0,0.08460236886632826,3.291435017323342,5.144629763919105,0,0,0,90.70985416163083,0
14,1306,19910.254797513524,28,14,0,100,24154.62816123977,2.5503592884909887,0,0,0.08540464130050651,2.6357639297914948,5.227353045117209,0,0,0,89.50111909529981,0
15,1157,16147.188844988876,28,19,0,100,18457.623965363287,1.4240441206733343,0,0,0.08643042350907516,5.025311766884801,6.334115322879368,0,0,0,87.1300983660534,0
16,1320,20565.84047014698,28,17,0,100,20322.706140189443,1.5217391304347827,0,0,0.07575757575757576,3.0303030303030307,5.424901185770751,0,0,0,89.94729907773387,0
17,1104,14777.55885391843,28,15,0,100,21251.21799268951,3.5217391304347823,0,0,0.09057971014492756,2.7210144927536235,5.702898550724637,0,0,0,87.96376811594202,0
18,1036,13484.43119782155,28,15,0,100,21032.931515578723,2.1003861003861006,0,0,0.09652509652509657,3.799227799227799,5.953667953667953,0,0,0,88.05019305019304,0
19,1205,17301.36183116307,28,24,0,100,14967.317397746547,0.8143153526970953,0,0,0.1037344398340249,4.019709543568465,6.338174273858921,0,0,0,88.7240663900415,0
20,1309,19319.07315591613,28,17,0,100,19620.856967690524,1.355166572557877,0,0,0.0763941940412529,2.2486464941707913,4.766333410834691,0,0,0,91.55345932839539,0
21,1350,20153.18987509989,28,23,0,100,17275.76510759904,2.7625272331154687,0,0,0.10457516339869286,4.919389978213507,6.4880174291939,0,0,0,85.72549019607843,0
22,1167,16179.231959251942,28,22,0,100,15856.649806706664,2.589736265828811,0,0,0.12377415976387696,3.3323812244120727,6.550509378272875,0,0,0,87.40359897172236,0
23,1404,21943.77694550374,28,24,0,100,14869.669126809496,1.0550213675213673,0,0,0.08012820512820515,2.4127492877492873,4.945690883190883,0,0,0,91.50641025641025,0
24,1262,19276.199221773586,28,16,0,100,19525.515079541026,1.660723718964606,0,0,0.07923930269413627,3.281827786582145,4.424194400422609,0,0,0,90.5540147913365,0
25,1335,20434.996587217123,28,27,0,100,11543.432063003158,1.9706136560069143,0,0,0.2765773552290406,2.5064822817631804,4.1832324978392394,0,0,0,91.06309420916163,0
26,1204,17404.06081484959,28,22,0,100,16458.119387178427,1.9656699889258027,0,0,0.10612772240679219,3.0961609449981546,5.606312292358805,0,0,0,89.22572905131044,0
27,1101,15000.909414136613,28,12,0,100,21762.541601980793,2.8869858570131046,0,0,0.0973141300116777,2.3485143376151547,4.356429220189439,0,0,0,90.31075645517063,0
28,1160,16568.016483710086,28,15,0,100,19350.601278552997,2.6551724137931036,0,0,0.08620689655172419,2.5172413793103448,4.348275862068965,0,0,0,90.39310344827587,0
29,1053,13834.023696141525,28,16,0,100,19869.557207925693,2.101139601139601,0,0,0.09496676163342833,3.2565685343463127,5.887939221272556,0,0,0,88.65938588160812,0
30,1003,13022.00282353057,28,18,0,100,18057.95115208526,2.2659294842744497,0,0,0.09970089730807574,4.36418018671259,6.095350312698268,0,0,0,87.1748391190066,0
31,1443,22840.357928573267,28,23,0,100,15961.767313193577,1.6142839672251437,0,0,0.1875178345766581,2.4295789001671353,4.284374872610168,0,0,0,91.48424442542091,0
32,1313,20345.44746807082,28,11,0,100,25495.271258563796,2.7917115318958956,0,0,0.07616146230007614,2.426661764319668,4.335950836462955,0,0,0,90.36951440502139,0
33,1434,22270.765552620895,28,18,0,100,19061.719298547334,1.3661721820717636,0,0,0.06973500697350074,2.916191200710029,5.008241409915049,0,0,0,90.63966020032966,0
34,1335,20035.6633184215,28,20,0,100,19242.841029432526,2.550561797752809,0,0,0.149812734082397,2.5842696629213484,4.722846441947565,0,0,0,89.9925093632959,0
35,1115,15274.097675095623,28,16,0,100,18750.402925944574,3.0979073243647237,0,0,0.08968609865470854,3.04185351270553,4.742152466367713,0,0,0,89.02840059790732,0
36,1103,14731.77686359242,28,20,0,100,17014.31185559503,3.6219401631912964,0,0,0.0951949229374433,2.583862194016319,4.814143245693562,0,0,0,88.88485947416137,0
37,1242,18120.0035033784,28,14,0,100,22341.29428963382,1.3594698377307073,0,0,0.08051529790660229,3.6169949213427475,6.051034311903878,0,0,0,88.89198563111609,0
38,1238,17774.270984619172,28,15,0,100,24640.577437656317,1.5541195476575123,0,0,0.0807754442649435,2.901453957996769,5.844911147011308,0,0,0,89.61873990306948,0
39,1036,13783.592174429597,28,15,0,100,21043.16169317366,2.776061776061776,0,0,0.09652509652509657,3.4324324324324325,6.0038610038610045,0,0,0,87.6911196911197,0
40,1201,17022.184537971523,28,20,0,100,16402.727555256897,3.3055786844296424,0,0,0.15403830141548708,3.7843463780183177,4.850124895920065,0,0,0,87.90591174021648,0
41,1457,22920.242140426355,28,21,0,100,19347.010904247592,0.9536538669941841,0,0,0.06863417982155114,3.312502257703284,6.700863345735649,0,0,0,88.96434634974536,0
42,1181,16511.614387086964,28,21,0,100,18692.882639439405,1.6177191496947279,0,0,0.08467400508044032,3.8370693881189,8.538704933374927,0,0,0,85.921832523731,0
43,1171,16292.908623910313,28,17,0,100,20787.89468487514,1.889874874689043,0,0,0.12995210336761595,3.30449634277652,5.361452493223927,0,0,0,89.31422418594289,0
44,1270,19075.635627109878,28,21,0,100,16137.967640360443,1.583091587235806,0,0,0.078740157480315,3.493576460837132,5.093244923331953,0,0,0,89.75134687111479,0
45,1109,14923.126739022957,28,23,0,100,14247.769706958732,1.951943987694266,0,0,0.09017132551848511,3.511377499602186,5.166286532647323,0,0,0,89.28022065453774,0
46,1045,13636.899763282763,28,13,0,100,21944.842057323036,1.4992025518341308,0,0,0.102782208045366,3.2287790182527023,5.801878433457381,0,0,0,89.36735778841043,0
47,1081,14073.48904548546,28,20,0,100,18004.00663258639,3.723404255319149,0,0,0.10638297872340428,3.612395929694727,6.817761332099907,0,0,0,85.74005550416281,0
48,1146,15728.183521585233,28,25,0,100,13754.049100111564,1.1285631180919138,0,0,0.08726003490401396,2.821407795229785,5.369400814426992,0,0,0,90.59336823734728,0
49,1097,15233.53112316684,28,16,0,100,20043.131214021418,0.62291096931024,0,0,0.09115770282588877,3.8286235186873285,5.640382862351868,0,0,0,89.81692494682467,0
50,1093,14904.197683608018,28,19,0,100,15956.612583226393,2.322136539885854,0,0,0.11763168213305453,2.9102949505511257,5.258571864244326,0,0,0,89.39136496318565,0
51,1226,17726.89571368885,28,20,0,100,17005.807017110532,1.9412724306688418,0,0,0.13050570962479607,3.050570962479609,5.436378466557912,0,0,0,89.44127243066886,0
52,1238,17973.497988529223,28,17,0,100,21807.661020106287,1.8016436046919995,0,0,0.08077544426494343,3.873709348879679,6.834304979981736,0,0,0,87.40956662218166,0
53,1101,14787.293751716741,28,19,0,100,18757.746483163315,1.9635828900134078,0,0,0.11245188356904978,4.813805631244323,7.867306777388522,0,0,0,85.24285281778471,0
54,1203,17840.91313606801,28,22,0,100,15159.754791204135,1.6578923062713589,0,0,0.08774360395308028,3.200332502078138,5.703334256950217,0,0,0,89.35069733074718,0
55,1098,14856.200372736943,28,15,0,100,23204.15267687774,2.353369763205828,0,0,0.10564663023679416,3.646630236794172,6.284153005464481,0,0,0,87.61020036429873,0
56,1134,16027.2980076938,28,19,0,100,18423.774392349434,2.7168892248257324,0,0,0.08818342151675487,4.913076341647769,5.270009238263206,0,0,0,87.01184177374654,0
57,1261,18337.93429631738,28,20,0,100,16439.947052509964,1.7248215701823948,0,0,0.07930214115781126,3.687549563838224,5.095162569389374,0,0,0,89.4131641554322,0
58,1523,24751.706287629757,28,16,0,100,24369.817000676587,1.7098927555263734,0,0,0.06839571022105494,2.634602757715036,4.013460275771504,0,0,0,91.57364850076601,0
59,1076,14412.349263070753,28,22,0,100,16287.853044818523,3.5161090458488227,0,0,0.11358942585708384,4.244114002478314,5.736266005782734,0,0,0,86.38992152003304,0
60,1134,15957.11141395293,28,16,0,100,21100.86874608901,1.1059670781893005,0,0,0.08818342151675483,3.4722222222222223,5.926660787771899,0,0,0,89.40696649029982,0
61,1197,17463.28275727995,28,17,0,100,17702.78653482992,1.7616505030692673,0,0,0.0835421888053467,2.996621989757001,4.681994842177909,0,0,0,90.47619047619047,0
62,1009,13270.630103456684,28,12,0,100,23781.31502143029,4.590825428288263,0,0,0.13804332436641653,2.9980178394449952,5.277502477700694,0,0,0,86.99561093019963,0
63,957,12273.152628875265,28,11,0,100,21736.75984345588,1.9421323820848195,0,0,0.10449320794148383,2.8717616113573303,5.621013944438439,0,0,0,89.46059885417793,0
64,1196,17663.070333226216,28,22,0,100,15595.352364983004,1.9788182831661092,0,0,0.17186919360832403,2.4572649572649574,4.259568933481977,0,0,0,91.13247863247861,0
65,1186,16298.498955529638,28,24,0,100,13054.640039412641,2.6928752107925797,0,0,0.08431703204047218,2.9089376053962903,5.1591483979763915,0,0,0,89.15472175379425,0
66,1467,23666.147877797222,28,14,0,100,24132.82286910303,1.6674532011955325,0,0,0.08127523464946779,2.2783283519479833,4.438676524566096,0,0,0,91.53426668764092,0
