episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC
0,728,8152.015494514707,40,25,1,98,10040.84551152476,17.05128205128205,0.03663003663003663,0,1.6483516483516483,2.554945054945055,1.098901098901099,0,0,0,77.6098901098901
1,806,12933.332990170826,40,29,0,100,6723.9737299767385,8.211143695014663,0.13534852244529663,0,2.018948793142341,1.1842995713963456,0.2368599142792691,0,0,0,88.21339950372209
2,736,10707.921917282509,40,25,0,100,9287.576438848304,13.759057971014496,0.1358695652173913,0,1.9112318840579707,0.9782608695652173,0.7789855072463767,0,0,0,82.43659420289855
3,729,10584.52439245702,40,21,0,100,9951.021930611803,15.623420691646814,0,0,0.5198180636777129,1.1912497292614252,0.7797270955165693,0,0,0,81.88578441989746
4,735,10521.899087659578,40,30,0,100,7329.792428115752,16.108843537414963,0.14965986394557823,0,3.3469387755102042,1.1156462585034013,0.707482993197279,0,0,0,78.57142857142856
5,777,11951.542337664712,40,27,0,100,8342.09266175898,12.642312642312643,0.1089001089001089,0,2.633402633402633,1.5444015444015444,1.197901197901198,0,0,0,81.87308187308187
6,728,10409.883347185933,40,26,0,100,7515.187897482514,15.796703296703297,0.09811616954474098,0,1.3245682888540031,0.794740973312402,0.5690737833594977,0,0,0,81.41679748822607
7,971,18547.974807195274,40,27,0,100,9817.761330051308,13.079299691040163,0.1742850352531094,0,3.2876495286382,1.2437613879426446,1.0377881644616969,0,0,0,81.1772161926642
8,866,12739.116709298272,40,30,1,98,8097.757663082347,15.993071593533486,0.03464203233256351,0,4.803695150115473,3.0600461893764432,0.6351039260969976,0,0,0,75.47344110854505
9,728,10378.25566631813,40,25,0,100,8180.365533497923,16.67582417582417,0.08241758241758243,0,0.4670329670329671,0.9981684981684982,0.8333333333333334,0,0,0,80.94322344322345
10,798,12538.725274442722,40,30,0,100,7023.328576963181,13.408521303258146,0.05012531328320802,0,4.849624060150376,0.8646616541353382,0.41353383458646614,0,0,0,80.41353383458646
11,894,16119.293318412152,40,25,1,98,9450.21309216134,12.184936614466816,0,0,0.8351976137211033,1.3348247576435495,1.1260253542132739,0,0,0,84.51901565995527
12,744,10942.149182248522,40,28,0,100,7928.096803480907,10.539874551971327,0.11200716845878138,0,2.2401433691756267,2.1617383512544803,1.2432795698924732,0,0,0,83.70295698924733
13,735,10227.171290382674,40,30,0,100,5915.787378441558,17.48299319727891,0.31292517006802717,0,2.5170068027210886,2.0544217687074826,1.1972789115646258,0,0,0,76.43537414965985
14,855,12065.260821132119,40,33,1,98,5696.100876861848,11.92982456140351,0.6516290726817042,0,3.2748538011695905,1.5037593984962405,0,0,0,0,82.63993316624895
15,875,13041.632087466342,40,32,1,98,6741.21986672192,10.028571428571427,0.14285714285714285,0,4.171428571428571,3.714285714285715,1.2142857142857144,0,0,0,80.72857142857144
16,773,11936.15785616681,40,28,0,100,8001.989496185822,5.767572229409228,0,0,0.7654161276412246,1.0457093574816732,0.6360500215610176,0,0,0,91.78525226390686
17,1001,16796.302027634727,40,36,1,98,4152.165435005321,17.607392607392608,21.403596403596403,0,4.945054945054945,5.394605394605395,2.9220779220779223,0,0,0,47.727272727272734
18,723,10294.027299612517,40,23,0,100,10152.481227199462,13.34309657472948,0,0,0.2196729314132292,0.9844601741111383,0.9356439671304206,0,0,0,84.51712635261573
19,708,7856.435669855729,40,23,1,98,10038.083931621637,12.254901960784315,0,0,0.34064473246925897,1.1714855433698903,0.47357926221335994,0,0,0,85.75938850116317
20,879,13322.135644093383,40,31,1,98,5628.907261235496,3.9565162432056624,0,0,0.8595626343066616,1.3525470863354823,0.20225003160156743,0,0,0,93.62912400455062
