episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC,state HOLD - BENCHMARK
0,1212,17736.874862153327,28,22,0,100,13155.086064022094,3.1032269893656026,0,0,0.1558489182251559,2.232306563989732,4.047488082141548,0,0,0,90.46112944627797,0
1,1138,16041.472782607878,28,15,0,100,17361.986242279985,3.7047451669595786,0,0,0.27416520210896295,2.699472759226713,4.710017574692442,0,0,0,88.61159929701228,0
2,1108,15226.742887020835,28,19,0,100,15163.850869184698,2.703283479456765,0,0,0.09025270758122747,3.1158672855423757,4.529826370981605,0,0,0,89.56077015643802,0
3,1165,15908.00544815581,28,18,0,100,16529.90991615266,1.8298868513460789,2.239563012095201,0,0.0858369098712446,3.273507608271556,5.7510729613733895,0,0,0,86.82013265704252,0
4,1200,17925.040309027478,28,14,0,100,18268.481375138923,2.9775641025641026,0,0,0.14743589743589736,2.429487179487179,3.3397435897435903,0,0,0,91.10576923076921,0
5,1110,15342.114452875223,28,13,0,100,21077.163398585893,3.880547213880547,0,0,0.343677010343677,2.3923923923923924,4.020687354020688,0,0,0,89.3626960293627,0
6,1180,16955.265905617598,28,23,0,100,12234.99981615285,3.8334995014955133,0,0,0.24925224327018958,1.5054835493519438,2.26321036889332,0,0,0,92.14855433698904,0
7,1147,16406.418396732486,28,18,0,100,15352.766673369615,2.3935959419830386,0,0,0.08718395815170013,2.853293175873821,4.77926606958865,0,0,0,89.88666085440279,0
8,1188,17470.783770841063,28,17,0,100,16939.64493034359,1.745718050065876,0.22690674864587912,0,0.09881422924901183,2.4154589371980677,4.7284438588786415,0,0,0,90.78465817596252,0
9,1169,16416.152482067264,28,16,0,100,18239.12185519217,2.6126318790989447,0,0,0.08554319931565443,2.5556030795551754,5.1147704590818375,0,0,0,89.63145138294837,0
10,1162,16499.603944857157,28,21,0,100,13867.167857099777,2.0699338708216324,2.0291693088142044,0,0.0951173113506658,2.6632847178186427,5.362804601866111,0,0,0,87.77969018932875,0
11,1193,17990.450716638363,28,14,0,100,17874.290465464983,3.485073183312915,0,0,0.09027016571023273,3.004706944354891,3.7623315494229157,0,0,0,89.65761815719905,0
12,1241,18758.016239444576,28,22,0,100,12457.08495311903,2.0055510788790403,2.20252484555466,0,0.2059271197063299,2.8158295281582952,4.763183812337721,0,0,0,88.00698361536395,0
13,1260,18623.217618112994,28,19,0,100,17061.959199382265,3.5147392290249435,0,0,0.2985638699924413,3.1027966742252455,4.44822373393802,0,0,0,88.63567649281937,0
14,1187,17825.230822206115,28,14,0,100,19894.05960978907,4.701574752122351,0,0,0.5832415267967079,1.9797809604043808,3.742466463612209,0,0,0,88.99293629706435,0
15,1140,16037.798564580982,28,21,0,100,15080.442535389,2.6038781163434903,0.2077562326869806,0,0.27700831024930767,2.5715604801477383,5.392428439519853,0,0,0,88.94736842105264,0
16,1179,17199.387190268033,28,17,0,100,18078.51006561102,4.004867795110078,0,0,0.13275804845668765,2.680975034111443,4.37364015193421,0,0,0,88.8077589703876,0
17,1114,15942.692186553266,28,15,0,100,19171.674409095594,5.044883303411131,0,0,0.3626570915619391,2.380610412926391,4.208258527827648,0,0,0,88.00359066427288,0
18,1134,16035.927512846942,28,16,0,100,18750.12469204773,3.4832451499118164,0,0,0.19841269841269832,4.004997060552617,5.838477366255143,0,0,0,86.47486772486774,0
19,1118,15738.6727757819,28,21,0,100,13977.702541038518,1.793616420299407,0,0,0.08944543828264757,2.3444120139346576,5.941060163826381,0,0,0,89.83146596365691,0
20,1204,17100.68877830901,28,19,0,100,17852.052123087014,4.1449137794652735,0,0,0.23334915361493436,2.9663028001898435,3.9432051890523647,0,0,0,88.71222907767759,0
21,1113,15183.955207199886,28,22,0,100,12194.159300537836,2.2461814914645104,0,0,0.23460117799740443,2.236198462613557,3.324348607367475,0,0,0,91.95867026055706,0
22,1156,15779.549967449044,28,23,0,100,14277.437246534315,2.294931813555872,0.08141664970486465,0,0.17301038062283727,3.5314471809485033,5.790759210258497,0,0,0,88.12843476490941,0
23,1194,17291.368957441857,28,23,0,100,13739.533830269635,2.443590501527244,0,0,0.15765100009853192,3.9117154399448224,6.6311951916444976,0,0,0,86.8558478667849,0
24,1181,16610.76896472944,28,17,0,100,17734.56486636986,1.531495048411442,0,0,0.0846740050804403,3.4974045576703605,4.274196517321356,0,0,0,90.61222987151639,0
