episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC,simulation,formation,ratio friend:enemy
0,1116,23729.88343409298,40,25,0,98,13020.41531784124,6.224611708482676,0.0,0,0.5555555555555556,1.911589008363202,3.6499402628434887,0,0,0,87.6583034647551,behavior_clone_32768,False,1:1
1,1158,24647.901855133223,40,29,0,100,12316.182434112827,4.247134558015387,0.0,0,0.6044905008635579,3.7839535248861673,6.869210237085886,0,0,0,84.495211179149,behavior_clone_32768,False,1:1
2,1047,21606.97637923232,40,25,0,100,14375.721898009815,6.552053486150907,0.0,0,0.5603311047437123,2.636103151862464,4.17064629099013,0,0,0,86.0808659662528,behavior_clone_32768,False,1:1
3,1020,20855.06460847515,40,20,0,100,18765.5009989564,4.32843137254902,0.0,0,0.1911764705882352,3.191176470588235,6.254901960784314,0,0,0,86.03431372549018,behavior_clone_32768,False,1:1
4,1045,21276.604696387916,40,26,0,100,12670.073224425298,6.855775803144224,0.0,0,0.4853041695146958,2.973342447026657,6.233766233766233,0,0,0,83.4518113465482,behavior_clone_32768,False,1:1
5,1308,29882.398132035567,40,27,0,98,15416.383975646868,0.9585979769466008,0.0,0,0.2881674900023523,3.834391907786403,6.633733239237827,0,0,0,88.28510938602682,behavior_clone_32768,False,1:1
6,988,19335.435320715314,40,23,0,98,15781.811558099613,7.751845677542272,0.0,0,0.6370564420100023,3.084067635151226,5.85853774708264,0,0,0,82.66849249821387,behavior_clone_32768,False,1:1
7,1058,21269.617373288704,40,26,0,100,14239.25021044237,6.710775047258979,0.0,0,0.3173102889549015,2.720766945719687,5.509046718876586,0,0,0,84.74210099918983,behavior_clone_32768,False,1:1
8,1161,25722.63071858505,40,28,0,98,12602.788904040208,3.3161068044788973,0.0,0,1.0623026126902095,2.828021820269882,4.945449325294287,0,0,0,87.84811943726672,behavior_clone_32768,False,1:1
9,1062,22041.255877491825,40,24,0,100,16111.654348495547,7.173964218455744,0.0,0,1.318267419962335,2.7071563088512245,5.696798493408664,0,0,0,83.10381355932203,behavior_clone_32768,False,1:1
10,1041,21221.29645554989,40,27,0,100,13721.25690102746,3.968078031478608,0.0,0,0.6354836326017882,5.27599201950787,7.064213404271041,0,0,0,83.05623291214069,behavior_clone_32768,False,1:1
11,1076,22419.0463382969,40,24,0,100,17189.754702962928,4.995353159851301,0.0,0,0.3427044609665427,3.83364312267658,6.267425650557621,0,0,0,84.56087360594796,behavior_clone_32768,False,1:1
12,1113,24188.912094772302,40,22,0,100,18047.264607573004,10.457222721373665,0.0,0,1.1480483178596388,2.4658081261854847,4.402515723270441,0,0,0,81.52640511131077,behavior_clone_32768,False,1:1
13,1074,20883.48495864437,40,29,1,98,13067.209183250201,11.257829693583885,0.0,0,0.3893685457931268,1.345860843067547,3.0556966311156253,0,0,0,83.95124428643983,behavior_clone_32768,False,1:1
14,1138,23823.74017953633,40,28,0,100,14698.423894777674,3.793204452255419,0.0,0,0.1391329818394844,3.6028119507908607,6.363503222026948,0,0,0,86.1013473930873,behavior_clone_32768,False,1:1
15,1261,27766.464563347785,40,31,0,100,10285.788992875563,5.18988457132787,0.0,0,1.039739184069081,2.9606132698916205,6.300114547537229,0,0,0,84.5096484271742,behavior_clone_32768,False,1:1
16,1284,28919.11432152945,40,33,0,100,9119.195080332422,6.063640409434802,0.0,0,3.0485091232754784,1.9804183355585223,3.126390743213173,0,0,0,85.78104138851802,behavior_clone_32768,False,1:1
