episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC,state HOLD - BENCHMARK,simulation,formation,ratio friend:enemy
0,1861,43661.26125023662,40,25,1,96,5276.969823587847,13.361991760702132,34.28264373992477,0,11.69622066989074,0.2507612394769837,0.985133440802436,0,0,0,39.42324914920294,0,behavior_clone_32768,False,0.7:1
1,1935,44384.7720301679,40,25,2,96,4683.163868365133,11.214470284237729,10.146425495262704,0,6.3565891472868215,0.8785529715762275,1.7915590008613265,0,0,0,69.6124031007752,0,behavior_clone_32768,False,0.7:1
2,1823,37367.438899467015,40,26,3,94,6282.9883763992675,11.958310477235328,9.68184311574328,0,8.584750411409765,0.0,0.301700493691717,0,0,0,69.47339550191992,0,behavior_clone_32768,False,0.7:1
3,1723,42535.35157661417,40,18,0,100,15041.15589783333,7.457922228670923,0.0,0,2.9889727219965176,1.3058618688334296,2.640742890307603,0,0,0,85.60650029019153,0,behavior_clone_32768,False,0.7:1
4,1597,28032.47027705933,40,26,5,88,5022.4544610291705,21.41515341264872,21.35253600500939,0,13.462742642454604,1.3462742642454604,2.2542266750156545,0,0,0,40.16906700062617,0,behavior_clone_32768,False,0.7:1
5,1360,29551.112539940757,40,24,1,98,6787.726475748019,12.297794117647058,0.2022058823529411,0,7.371323529411764,0.2757352941176471,1.1397058823529411,0,0,0,78.71323529411765,0,behavior_clone_32768,False,0.7:1
6,1984,44377.66156601504,40,26,3,94,4528.346047413577,7.787298387096775,26.789314516129032,0,7.913306451612904,1.6381048387096773,2.9989919354838706,0,0,0,52.872983870967744,0,behavior_clone_32768,False,0.7:1
7,1763,41237.52456397137,40,24,2,96,5806.873203358127,7.33125354509359,0.0,0,4.736245036868973,1.205331820760068,2.268859897901305,0,0,0,84.45830969937606,0,behavior_clone_32768,False,0.7:1
8,1700,40797.09450372514,40,20,0,98,11772.55520039857,5.5,0.3676470588235294,0,1.6838235294117645,2.375,4.227941176470589,0,0,0,85.84558823529412,0,behavior_clone_32768,False,0.7:1
9,1808,27982.27585820165,40,26,8,84,3716.471596592979,9.56858407079646,45.9070796460177,0,10.3429203539823,0.2765486725663716,1.133849557522124,0,0,0,32.77101769911505,0,behavior_clone_32768,False,0.7:1
10,1551,35491.2946542778,40,20,0,98,12503.19468892308,6.898774983881367,0.0,0,1.9987105093488076,1.9584139264990328,4.045776918117344,0,0,0,85.09832366215346,0,behavior_clone_32768,False,0.7:1
11,1825,32298.525569936704,40,26,6,88,3472.5926179733415,9.91780821917808,36.41095890410959,0,8.410958904109588,0.273972602739726,0.1643835616438356,0,0,0,44.821917808219176,0,behavior_clone_32768,False,0.7:1
12,1619,36197.60412039282,40,23,1,98,6790.09148437838,11.550339715873996,0.0,0,5.101914762198889,1.1488573193329217,0.7659048795552811,0,0,0,81.43298332303893,0,behavior_clone_32768,False,0.7:1
13,1425,32761.335068308694,40,20,0,100,12545.484213450607,9.114035087719298,0.0,0,5.298245614035087,1.0526315789473686,1.973684210526316,0,0,0,82.56140350877193,0,behavior_clone_32768,False,0.7:1
14,1806,25819.70922922001,40,26,9,82,2709.2042951765516,4.1528239202657815,43.798449612403104,0,6.976744186046512,0.0,0.3875968992248062,0,0,0,44.6843853820598,0,behavior_clone_32768,False,0.7:1
15,1497,29547.723965679885,40,24,2,96,6748.016146492868,14.562458249833,0.334001336005344,0,5.1937207748831,2.2879091516366064,4.108216432865732,0,0,0,73.51369405477622,0,behavior_clone_32768,False,0.7:1
16,1800,22337.149390814626,40,26,10,80,3343.8699576386184,8.25,48.41666666666666,0,7.777777777777778,0.0277777777777777,0.6944444444444444,0,0,0,34.83333333333333,0,behavior_clone_32768,False,0.7:1
17,1907,34814.75806010407,40,26,7,86,2917.0197758167737,7.079181961195594,49.52805453592029,0,5.610907184058731,1.3109596224436288,0.8127949659150498,0,0,0,35.6581017304667,0,behavior_clone_32768,False,0.7:1
18,1804,38380.00524221795,40,25,2,96,6542.620923407387,16.407982261640797,15.946045824094606,0,13.285291943828527,0.2402069475240207,0.4988913525498891,0,0,0,53.62158167036216,0,behavior_clone_32768,False,0.7:1
19,1800,10546.755427537291,40,26,16,68,2365.036686239172,5.222222222222222,60.19444444444444,0,5.0,1.9166666666666663,3.9444444444444446,0,0,0,23.72222222222222,0,behavior_clone_32768,False,0.7:1
20,1988,38297.70816731991,40,26,6,88,4308.513583982618,9.02917505030181,31.48893360160966,0,6.866197183098592,0.6287726358148893,1.6851106639839033,0,0,0,50.30181086519115,0,behavior_clone_32768,False,0.7:1
21,1046,16210.57462297343,40,18,2,94,12069.342424734188,14.321223709369026,0.0,0,2.934990439770555,3.2695984703632885,4.378585086042064,0,0,0,75.09560229445508,0,behavior_clone_32768,False,0.7:1
22,1526,34269.9489764155,40,20,1,98,10166.477219849869,7.650720838794234,0.0,0,1.384338138925295,1.957732634338139,3.0799475753604195,0,0,0,85.92726081258192,0,behavior_clone_32768,False,0.7:1
23,2033,47523.3942432133,40,26,3,92,4448.244353371027,4.672897196261682,24.39744220363994,0,7.4766355140186915,1.4510575504181016,0.6640432857845548,0,0,0,61.33792424987703,0,behavior_clone_32768,False,0.7:1
24,1584,31242.046752863425,40,25,2,96,6423.0274662028,16.372053872053872,0.3367003367003367,0,9.25925925925926,0.6313131313131314,0.3998316498316498,0,0,0,73.00084175084174,0,behavior_clone_32768,False,0.7:1
25,1252,26482.72532262794,40,21,0,98,8547.341535471965,9.367868553172068,0.0,0,3.594249201277956,1.9397535371976264,4.107713372889092,0,0,0,80.99041533546325,0,behavior_clone_32768,False,0.7:1
26,1968,38427.50606913445,40,26,6,86,3193.347998649361,5.132113821138211,54.09044715447155,0,5.640243902439025,0.584349593495935,1.8800813008130084,0,0,0,32.67276422764228,0,behavior_clone_32768,False,0.7:1
27,1851,46515.09391284014,40,26,1,96,3792.9273292369744,12.533765532144786,12.641815235008105,0,6.374932468935711,0.9184224743381956,2.9983792544570504,0,0,0,64.53268503511615,0,behavior_clone_32768,False,0.7:1
