episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC,simulation,formation,ratio friend:enemy
0,728,8152.015494514707,40,25,1,96,10978.118381523309,17.05128205128205,0.0366300366300366,0,1.6483516483516485,2.554945054945055,1.098901098901099,0,0,0,77.6098901098901,behavior_clone_32768,True,1:1
1,806,12933.332990170826,40,29,0,100,7887.913492056417,8.211143695014663,0.1353485224452966,0,2.018948793142341,1.1842995713963456,0.2368599142792691,0,0,0,88.21339950372209,behavior_clone_32768,True,1:1
2,736,10707.921917282509,40,25,0,100,10330.522941994968,13.759057971014496,0.1358695652173913,0,1.9112318840579707,0.9782608695652172,0.7789855072463767,0,0,0,82.43659420289855,behavior_clone_32768,True,1:1
3,729,10584.52439245702,40,21,0,100,9841.371744238037,15.623420691646814,0.0,0,0.5198180636777129,1.1912497292614252,0.7797270955165693,0,0,0,81.88578441989746,behavior_clone_32768,True,1:1
4,735,10521.899087659578,40,30,0,100,8214.892612828155,16.108843537414963,0.1496598639455782,0,3.346938775510204,1.1156462585034013,0.707482993197279,0,0,0,78.57142857142856,behavior_clone_32768,True,1:1
5,777,11951.542337664712,40,27,0,98,8916.389444628823,12.642312642312644,0.1089001089001089,0,2.633402633402633,1.5444015444015444,1.197901197901198,0,0,0,81.87308187308187,behavior_clone_32768,True,1:1
6,728,10409.883347185933,40,26,0,100,8602.79360693677,15.796703296703296,0.0981161695447409,0,1.3245682888540031,0.794740973312402,0.5690737833594977,0,0,0,81.41679748822607,behavior_clone_32768,True,1:1
7,971,18547.974807195274,40,27,0,100,12310.390831353012,13.079299691040164,0.1742850352531094,0,3.2876495286382,1.2437613879426446,1.0377881644616969,0,0,0,81.1772161926642,behavior_clone_32768,True,1:1
8,866,12739.116709298272,40,30,1,98,9281.498495819498,15.993071593533486,0.0346420323325635,0,4.803695150115473,3.0600461893764432,0.6351039260969976,0,0,0,75.47344110854505,behavior_clone_32768,True,1:1
9,728,10378.25566631813,40,25,0,100,9023.600690411724,16.67582417582417,0.0824175824175824,0,0.4670329670329671,0.9981684981684982,0.8333333333333334,0,0,0,80.94322344322345,behavior_clone_32768,True,1:1
10,798,12538.725274442722,40,30,0,100,8484.229327951807,13.408521303258146,0.050125313283208,0,4.849624060150376,0.8646616541353382,0.4135338345864661,0,0,0,80.41353383458646,behavior_clone_32768,True,1:1
11,894,16119.293318412152,40,25,1,98,10691.557035765947,12.184936614466816,0.0,0,0.8351976137211033,1.3348247576435497,1.126025354213274,0,0,0,84.51901565995527,behavior_clone_32768,True,1:1
12,744,10942.149182248522,40,28,0,98,9138.144048706827,10.539874551971328,0.1120071684587813,0,2.2401433691756267,2.1617383512544803,1.2432795698924732,0,0,0,83.70295698924733,behavior_clone_32768,True,1:1
13,735,10227.171290382674,40,30,0,100,7219.2126750493935,17.48299319727891,0.3129251700680271,0,2.517006802721089,2.0544217687074826,1.1972789115646258,0,0,0,76.43537414965985,behavior_clone_32768,True,1:1
14,855,12065.26082113212,40,33,1,96,7724.372659276618,11.92982456140351,0.6516290726817042,0,3.2748538011695905,1.5037593984962403,0.0,0,0,0,82.63993316624895,behavior_clone_32768,True,1:1
15,875,13041.632087466342,40,32,1,98,7175.775649058962,10.028571428571428,0.1428571428571428,0,4.171428571428571,3.714285714285715,1.2142857142857144,0,0,0,80.72857142857144,behavior_clone_32768,True,1:1
16,773,11936.15785616681,40,28,0,100,9238.805534591549,5.767572229409228,0.0,0,0.7654161276412246,1.0457093574816732,0.6360500215610176,0,0,0,91.78525226390686,behavior_clone_32768,True,1:1
17,1001,16796.302027634727,40,36,1,98,4688.974870014552,17.607392607392608,21.403596403596403,0,4.945054945054945,5.394605394605395,2.9220779220779223,0,0,0,47.727272727272734,behavior_clone_32768,True,1:1
18,723,10294.027299612517,40,23,0,98,11430.237550370586,13.34309657472948,0.0,0,0.2196729314132292,0.9844601741111384,0.9356439671304206,0,0,0,84.51712635261573,behavior_clone_32768,True,1:1
19,708,7856.435669855729,40,23,1,98,10578.740675878587,12.254901960784316,0.0,0,0.3406447324692589,1.1714855433698903,0.4735792622133599,0,0,0,85.75938850116317,behavior_clone_32768,True,1:1
20,879,13322.135644093383,40,31,1,98,6420.223854432954,3.9565162432056624,0.0,0,0.8595626343066616,1.3525470863354825,0.2022500316015674,0,0,0,93.62912400455062,behavior_clone_32768,True,1:1
21,804,13079.306603441388,40,28,0,100,8953.485506159732,6.446932006633499,0.0,0,1.3681592039800992,0.6426202321724709,0.0932835820895522,0,0,0,91.44900497512435,behavior_clone_32768,True,1:1
22,725,10414.76913213687,40,26,0,100,9693.150153945242,14.12807881773399,0.0,0,1.793103448275862,2.3251231527093594,1.2216748768472905,0,0,0,80.53201970443348,behavior_clone_32768,True,1:1
23,829,13793.396027879668,40,27,0,98,10075.656282615024,10.058457826853484,0.1391853020321054,0,1.0021341746311587,0.5289041477220006,0.0649531409483158,0,0,0,88.20636540781295,behavior_clone_32768,True,1:1
