episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC,state HOLD - BENCHMARK,simulation,formation,ratio friend:enemy
0,1131,15980.717584338418,28,22,0,96,66256.21695662639,1.5473032714412025,0.0,0,0.0884173297966401,3.5366931918656057,4.6369977404460165,0,0,0,90.19058846645054,0,behavior_clone_8198,False,1:0.7
1,1212,18546.14611600744,28,15,0,92,70626.35292860713,1.9735973597359733,0.0,0,0.122112211221122,2.432343234323433,4.155115511551156,0,0,0,91.31683168316832,0,behavior_clone_8198,False,1:0.7
2,1273,18999.10411830629,28,19,0,98,63269.33366338824,2.06486365166648,0.0,0,0.1084801556129129,2.790558485766655,5.154677739123929,0,0,0,89.88141996783003,0,behavior_clone_8198,False,1:0.7
3,1650,28132.595135255757,28,18,0,94,27605.802268691976,1.5013774104683195,0.0,0,0.0606060606060606,2.242424242424242,3.7933884297520657,0,0,0,92.40220385674932,0,behavior_clone_8198,False,1:0.7
4,1089,14595.097457314749,28,14,0,92,87422.12653351585,3.796708342162888,0.0,0,0.0918273645546373,3.323444232535141,6.4420428056791685,0,0,0,86.34597725506818,0,behavior_clone_8198,False,1:0.7
5,1142,16514.089408560947,28,13,0,98,31954.75197032871,1.7415839657520915,0.0,0,0.1394564441849906,2.821560614905624,5.792307193357982,0,0,0,89.50509178179932,0,behavior_clone_8198,False,1:0.7
6,1131,15313.68648917914,28,23,0,92,51129.58336823212,1.139023248556717,0.0,0,0.0884173297966401,3.9631767826493993,6.709315025745046,0,0,0,88.10006761325221,0,behavior_clone_8198,False,1:0.7
7,1138,15862.369122120535,28,18,0,92,34550.98197196513,2.6042498801725515,0.0,0,0.2037066624061352,3.602811950790861,6.059274644511904,0,0,0,87.52995686211854,0,behavior_clone_8198,False,1:0.7
8,1150,16154.12369591382,28,17,0,92,48372.31870936947,1.3724007561436673,0.0,0,0.0869565217391304,2.7485822306238186,5.349716446124765,0,0,0,90.4423440453686,0,behavior_clone_8198,False,1:0.7
9,1156,16219.247254439748,28,16,0,92,57647.86717857585,3.042099192618223,0.0,0,0.0937139561707035,2.5591118800461365,5.046136101499423,0,0,0,89.25893886966551,0,behavior_clone_8198,False,1:0.7
10,1361,21256.363763545807,28,21,0,92,54956.16820415824,1.164004795235701,0.0,0,0.0734753857457751,3.024092192273483,5.197416760122201,0,0,0,90.54101086662284,0,behavior_clone_8198,False,1:0.7
11,1106,15046.500436883529,28,14,0,92,59796.289350117986,3.0254555571011266,0.0,0,0.0904159132007233,3.234107664487412,5.404089581304771,0,0,0,88.24593128390597,0,behavior_clone_8198,False,1:0.7
