episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC,simulation,formation,ratio friend:enemy
0,2928,74554.35781739224,40,25,2,92,30423.377572152298,3.882058287795993,21.72131147540984,0,4.462659380692168,0.7399817850637523,0.1366120218579235,0,0,0,69.05737704918033,behavior_clone_8198,True,0.7:1
1,2926,79288.02029477614,40,26,0,94,46318.44258628815,2.4777853725222148,39.08065618591935,0,4.289131920710868,0.0,0.4784688995215311,0,0,0,53.673957621326046,behavior_clone_8198,True,0.7:1
2,3014,77813.965162422,40,26,1,96,39554.26600290816,2.770404777704048,39.76443264764433,0,4.014598540145985,0.7299270072992701,0.13271400132714,0,0,0,52.58792302587924,behavior_clone_8198,True,0.7:1
3,2319,58909.71483588479,40,18,1,96,28951.922623155173,3.238464855541181,0.0,0,1.5394566623544632,0.8106942647692972,1.3626563173781805,0,0,0,93.04872789995687,behavior_clone_8198,True,0.7:1
4,3404,85320.34797302428,40,25,6,82,29306.945841358156,4.308656482569527,26.390520955738346,0,2.712495103799452,0.4700352526439483,0.763807285546416,0,0,0,65.35448491970232,behavior_clone_8198,True,0.7:1
5,2877,74696.42823648966,40,24,1,94,25238.586068904642,6.699687174139729,0.0,0,2.519986096628432,0.3823427181091414,1.0340632603406326,0,0,0,89.36392075078206,behavior_clone_8198,True,0.7:1
6,3420,90688.14412211964,40,26,3,90,19683.380095959328,0.043859649122807,48.28947368421052,0,2.5292397660818717,0.3947368421052631,0.0146198830409356,0,0,0,48.7280701754386,behavior_clone_8198,True,0.7:1
7,3384,93046.04509892284,40,24,1,94,51086.021368542395,0.9308510638297872,0.0,0,0.9530141843971632,0.4949763593380615,0.4802009456264775,0,0,0,97.1409574468085,behavior_clone_8198,True,0.7:1
8,2837,77166.87057859312,40,22,0,92,45601.49727958992,3.095993420279638,0.0,0,2.020914111150276,0.3701092703560098,0.8988367994360239,0,0,0,93.61414639877806,behavior_clone_8198,True,0.7:1
9,3420,83068.2046030365,40,26,6,86,20058.080460135312,12.22222222222222,40.599415204678365,0,4.502923976608187,0.4385964912280702,0.1169590643274853,0,0,0,42.11988304093568,behavior_clone_8198,True,0.7:1
10,2415,57488.1945991887,40,22,3,92,56202.5551306279,2.3050379572118698,0.0,0,1.518288474810214,0.7039337474120082,0.6004140786749482,0,0,0,94.87232574189096,behavior_clone_8198,True,0.7:1
11,3420,85412.02927622832,40,26,5,88,38612.36322794052,2.2076023391812862,49.47368421052632,0,2.1345029239766085,0.5409356725146198,0.9941520467836258,0,0,0,44.64912280701755,behavior_clone_8198,True,0.7:1
12,2924,78588.51457457917,40,23,1,90,53883.54839378117,3.789329685362517,0.0,0,1.6142270861833106,0.2325581395348837,0.3419972640218878,0,0,0,94.0218878248974,behavior_clone_8198,True,0.7:1
13,2315,59330.57460673076,40,18,1,96,54206.60183074089,6.11231101511879,0.0,0,1.8488120950323976,0.5874730021598273,1.2440604751619873,0,0,0,90.207343412527,behavior_clone_8198,True,0.7:1
14,5000,130114.56648638385,39,26,7,78,15264.457409235087,2.58,82.99000000000001,0,2.51,0.01,0.16,0,0,0,11.75,behavior_clone_8198,True,0.7:1
15,3420,88194.63029656242,40,26,5,86,21126.53136519631,6.096491228070176,27.76315789473684,0,2.4707602339181287,2.8947368421052637,1.8859649122807016,0,0,0,58.888888888888886,behavior_clone_8198,True,0.7:1
16,3420,82484.86455521532,40,26,7,80,47024.68259678923,4.02046783625731,74.22514619883042,0,3.450292397660818,0.0,0.1461988304093567,0,0,0,18.157894736842103,behavior_clone_8198,True,0.7:1
17,3420,80724.3593177903,40,26,8,82,44167.96128659879,4.137426900584796,75.27777777777777,0,3.801169590643275,0.087719298245614,0.2631578947368421,0,0,0,16.432748538011694,behavior_clone_8198,True,0.7:1
18,3369,91054.81924469511,40,24,1,96,34060.92614026264,2.626892252894034,0.0,0,1.6028495102404272,0.1780943900267141,0.1261501929355891,0,0,0,95.46601365390325,behavior_clone_8198,True,0.7:1
19,3420,65448.22626467659,40,26,13,70,33973.056642060306,2.631578947368421,75.76023391812866,0,3.435672514619883,0.2923976608187134,0.0,0,0,0,17.880116959064328,behavior_clone_8198,True,0.7:1
20,5000,128973.41743337468,39,26,6,82,57779.354661875754,1.48,77.33,0,1.46,0.72,2.57,0,0,0,16.439999999999998,behavior_clone_8198,True,0.7:1
21,2396,64039.79097801325,40,19,0,92,28693.983196413712,7.702652569096643,0.0,0,1.6508996475607496,0.908922277870525,1.3123724726395845,0,0,0,88.42515303283251,behavior_clone_8198,True,0.7:1
22,2868,76491.85421335645,40,22,1,92,49015.97066857686,1.214551371455137,0.0,0,1.2494188749418875,0.4765225476522547,0.8310088331008834,0,0,0,96.22849837284984,behavior_clone_8198,True,0.7:1
23,2963,75805.08500167562,40,26,3,90,28633.53682697301,5.568680391495106,17.195410057374282,0,4.775565305433682,0.5399932500843739,0.1181235234559568,0,0,0,71.8022274721566,behavior_clone_8198,True,0.7:1
24,2844,70102.72029118582,40,22,2,92,34328.33947368981,4.54172526957337,0.0,0,2.2855133614627285,0.4043600562587904,0.5039849976558837,0,0,0,92.26441631504922,behavior_clone_8198,True,0.7:1
25,2905,77216.10644218257,40,23,1,92,59437.019489951366,2.7814113597246126,0.0,0,1.1841652323580034,0.7091222030981067,0.8743545611015491,0,0,0,94.45094664371771,behavior_clone_8198,True,0.7:1
26,2925,71758.42731472179,40,25,3,86,50499.746028330024,6.37037037037037,60.501424501424495,0,7.282051282051282,1.1168091168091168,1.2421652421652425,0,0,0,23.487179487179485,behavior_clone_8198,True,0.7:1
27,2927,71627.9280617908,40,26,3,86,50068.43773406156,3.843525794328664,68.55141783395969,0,3.689784762555517,0.1024940211820977,0.9566108643662452,0,0,0,22.856166723607792,behavior_clone_8198,True,0.7:1
28,2355,62275.34967717582,40,19,0,98,66525.27744380267,7.2517103090351505,0.0,0,2.642132578438311,0.6794055201698513,1.429582448690729,0,0,0,87.99716914366596,behavior_clone_8198,True,0.7:1
29,2891,76508.34846254639,40,21,1,90,39923.16943389892,4.526362603152641,0.0,0,2.579433710530217,0.1877748678163759,0.7906310223847408,0,0,0,91.91579779611602,behavior_clone_8198,True,0.7:1
30,2926,69524.2633805606,40,25,5,84,47060.05471227645,5.354294827979039,39.58760537707906,0,4.089769879243564,0.3075871496924129,0.7177033492822966,0,0,0,49.94303941672363,behavior_clone_8198,True,0.7:1
31,2926,75854.41284248278,40,25,1,94,27372.785227979293,2.1645021645021645,13.237639553429029,0,3.4062428799270905,0.4898610161768056,0.4898610161768057,0,0,0,80.2118933697881,behavior_clone_8198,True,0.7:1
32,2899,71727.67748988199,40,25,2,94,42453.062676221685,3.368977808439692,13.958836380361044,0,2.35713464413016,1.1728182131769576,1.5407611820167872,0,0,0,77.60147177187535,behavior_clone_8198,True,0.7:1
33,3420,81409.81894928635,40,26,6,86,29402.360701085265,6.125730994152047,71.33040935672514,0,3.2748538011695905,0.3947368421052631,0.4532163742690058,0,0,0,18.42105263157895,behavior_clone_8198,True,0.7:1
34,3420,72617.00888560747,40,26,10,76,34488.3680721096,7.105263157894736,67.03216374269005,0,3.172514619883041,0.4385964912280701,1.0672514619883042,0,0,0,21.184210526315788,behavior_clone_8198,True,0.7:1
35,2382,61767.04071741318,40,21,1,90,50054.41423885098,2.5788652992683216,0.0,0,1.5353244572388152,0.5037783375314862,0.7076886170085163,0,0,0,94.67434328895288,behavior_clone_8198,True,0.7:1
36,3420,80308.94647610313,40,26,8,80,15543.340020393332,5.497076023391813,74.94152046783626,0,2.0321637426900585,0.2046783625730994,0.219298245614035,0,0,0,17.105263157894736,behavior_clone_8198,True,0.7:1
37,3365,82339.7217360924,40,23,4,84,77501.7679177075,2.6745913818722142,0.0,0,1.735512630014859,0.4160475482912332,0.2615156017830609,0,0,0,94.91233283803862,behavior_clone_8198,True,0.7:1
38,3420,86447.61228111133,40,26,4,88,12026.924354369581,1.4035087719298245,41.27192982456141,0,2.5,0.2339181286549707,0.0,0,0,0,54.59064327485381,behavior_clone_8198,True,0.7:1
39,2963,74842.34614570126,40,26,3,88,8732.79544186383,9.0617617279784,39.84137698278772,0,3.0712116098548767,0.3881201484981437,0.8099898751265608,0,0,0,46.82753965575431,behavior_clone_8198,True,0.7:1
40,2914,78560.20897147055,40,23,1,90,59041.9766234473,6.170212765957446,0.0,0,2.5669183253260126,0.247083047357584,0.5971173644474949,0,0,0,90.41866849691148,behavior_clone_8198,True,0.7:1
41,3420,82327.04988056302,40,26,7,80,47621.471875829215,0.2485380116959064,62.441520467836256,0,2.616959064327485,0.3947368421052631,0.0,0,0,0,34.29824561403509,behavior_clone_8198,True,0.7:1
42,2357,57505.28950607168,40,21,2,94,51177.304127868934,3.824474210558216,0.0,0,1.3091702527425906,0.4121461906782229,0.5636705254863932,0,0,0,93.8905388205346,behavior_clone_8198,True,0.7:1
43,3420,84774.21598195573,40,26,5,86,44678.83706105094,1.7543859649122806,48.260233918128655,0,3.1432748538011697,0.2339181286549707,0.0584795321637426,0,0,0,46.54970760233918,behavior_clone_8198,True,0.7:1
44,2879,78553.4069681852,40,23,0,98,35846.4526595704,5.738103508162556,0.0,0,2.716220910038208,0.2987148315387287,0.7572073636679402,0,0,0,90.48975338659258,behavior_clone_8198,True,0.7:1
45,5000,133341.79646516277,39,26,5,88,14210.478678981704,2.49,72.59,0,2.77,0.14,0.16,0,0,0,21.85,behavior_clone_8198,True,0.7:1
46,2924,79503.36817223438,40,24,1,96,35727.07600946112,0.9319425444596444,0.0,0,1.3423392612859095,0.8207934336525308,0.7694938440492476,0,0,0,96.13543091655268,behavior_clone_8198,True,0.7:1
47,2312,59628.20285930466,40,17,0,98,28827.81233136714,4.749921358917898,0.0,0,0.8375275243787353,0.9594212016357344,1.576753696130859,0,0,0,91.87637621893678,behavior_clone_8198,True,0.7:1
48,2380,59760.626329603685,40,18,2,92,61547.53838456873,6.201680672268908,0.0,0,1.5714285714285712,0.6428571428571428,0.96218487394958,0,0,0,90.6218487394958,behavior_clone_8198,True,0.7:1
49,3420,59265.75126626624,40,26,16,66,28733.829217257156,6.505847953216374,77.14912280701755,0,2.39766081871345,0.0584795321637426,0.0,0,0,0,13.88888888888889,behavior_clone_8198,True,0.7:1
50,2933,77794.985502334,40,22,1,94,22223.98178666539,6.9894306171155804,0.0227298556654165,0,2.84691442209342,0.5284691442209343,1.0569382884418683,0,0,0,88.55551767246278,behavior_clone_8198,True,0.7:1
51,3236,84155.98984648139,40,26,1,94,28203.881264065054,6.056860321384425,4.218170580964153,0,5.624227441285537,0.8498145859085291,1.80778739184178,0,0,0,81.44313967861557,behavior_clone_8198,True,0.7:1
52,4201,117267.14368598632,40,24,1,92,43086.62684504907,2.314925017852892,0.0,0,1.422280409426327,0.3927636277076887,0.2023327779100214,0,0,0,95.66769816710308,behavior_clone_8198,True,0.7:1
53,3388,92547.70884154845,40,24,1,90,23562.89390556069,2.9811097992916173,0.0,0,2.8556670602125145,0.0811688311688311,0.2582644628099174,0,0,0,93.82378984651712,behavior_clone_8198,True,0.7:1
54,2839,76126.44972167426,40,21,1,90,22105.155363879967,6.667337593720124,0.0,0,2.832989483218437,0.1610224928294671,0.2717254566497257,0,0,0,90.06692497358226,behavior_clone_8198,True,0.7:1
55,3420,89326.55538399972,40,26,4,88,37195.25239935896,3.47953216374269,40.11695906432749,0,2.3684210526315788,0.2631578947368421,0.3362573099415205,0,0,0,53.43567251461988,behavior_clone_8198,True,0.7:1
56,3420,74337.66387667664,40,26,11,72,36795.159023035005,4.751461988304094,75.90643274853801,0,3.1432748538011697,0.4970760233918129,1.1111111111111112,0,0,0,14.5906432748538,behavior_clone_8198,True,0.7:1
57,2933,77740.11928746592,40,21,1,94,28374.39134612334,3.2390044323218543,0.0,0,1.1397399055087432,0.638059519750621,1.3345672397837416,0,0,0,93.64862890263504,behavior_clone_8198,True,0.7:1
58,2899,80207.4176557871,40,22,0,96,29134.65619243531,6.186041163619639,0.0,0,2.5813498907669308,0.523168908819133,0.8393698976658618,0,0,0,89.87007013912843,behavior_clone_8198,True,0.7:1
59,2866,77545.12833098456,40,21,0,96,43439.48982581067,3.4592762436447013,0.0,0,2.9558369055926628,0.6081148439836507,0.7576512810288107,0,0,0,92.21912072575016,behavior_clone_8198,True,0.7:1
60,2862,78914.2857981334,40,21,0,94,8848.554612515623,3.4591194968553456,0.0,0,1.8119197364480384,0.6389138464610163,0.8086253369272236,0,0,0,93.28142158330836,behavior_clone_8198,True,0.7:1
61,2926,74870.1558758938,40,25,2,88,6318.901413978119,11.540214171793115,15.493278651173387,0,4.659375712007291,0.1025290498974709,0.4670767828662566,0,0,0,67.73752563226248,behavior_clone_8198,True,0.7:1
62,3420,85402.07375294987,40,26,4,86,17152.37425484252,1.0380116959064327,60.599415204678365,0,3.523391812865497,0.2777777777777778,0.0,0,0,0,34.56140350877193,behavior_clone_8198,True,0.7:1
63,3420,88199.01450544239,40,26,4,90,27567.85265734577,0.3216374269005848,48.260233918128655,0,2.4269005847953213,0.2046783625730994,0.2485380116959064,0,0,0,48.538011695906434,behavior_clone_8198,True,0.7:1
64,2396,63841.69015519857,40,19,0,94,46240.99310392799,6.121313299944352,0.0,0,1.0434056761268784,1.3309219068818403,2.193470599146726,0,0,0,89.31088851790021,behavior_clone_8198,True,0.7:1
65,2410,60559.93997161822,40,19,2,90,69060.9711028656,6.546795758414016,0.0,0,2.1207929921622863,0.3411710465652374,0.636237897648686,0,0,0,90.35500230520977,behavior_clone_8198,True,0.7:1
66,3420,84722.56417848516,40,26,6,82,49072.16841573072,1.7543859649122808,72.23684210526316,0,2.967836257309941,0.219298245614035,0.087719298245614,0,0,0,22.73391812865497,behavior_clone_8198,True,0.7:1
67,2886,80041.84554762953,40,23,0,94,32926.73214202914,2.501732501732502,0.0,0,1.774081774081774,0.6098406098406098,0.8731808731808732,0,0,0,94.24116424116424,behavior_clone_8198,True,0.7:1
68,3042,76775.83123589361,40,26,4,84,31898.808046786104,3.303747534516765,17.439184746877054,0,2.744904667981591,0.5752794214332676,0.7560815253122946,0,0,0,75.18080210387902,behavior_clone_8198,True,0.7:1
69,3420,83290.59155442785,40,26,6,86,12340.410843527181,4.371345029239766,58.56725146198831,0,4.985380116959064,0.0584795321637426,0.0,0,0,0,32.01754385964912,behavior_clone_8198,True,0.7:1
70,4138,116990.80020556996,40,24,0,92,36898.296875643886,2.905993233446109,0.0,0,2.344127597873369,0.2718704688255196,0.1631222812953117,0,0,0,94.31488641855968,behavior_clone_8198,True,0.7:1
71,2892,75694.13840640803,40,21,2,88,32725.280713006745,7.923335309227425,0.0,0,1.417704011065007,0.7162616083777908,1.3584271883027068,0,0,0,88.58427188302707,behavior_clone_8198,True,0.7:1
72,2863,72504.6032408456,40,24,2,90,43086.13924365392,5.291652113168006,7.946210268948655,0,2.130632203981837,1.8424729304924905,1.5805099545930843,0,0,0,81.20852252881593,behavior_clone_8198,True,0.7:1
73,2399,62957.03032343125,40,21,0,96,22225.06360455275,0.8932293217412016,0.0,0,0.5299827308997798,0.3870660394211873,0.9408682189007324,0,0,0,97.2488536890371,behavior_clone_8198,True,0.7:1
74,2926,74546.3154958782,40,25,2,92,44401.546754666895,8.270676691729323,32.683982683982684,0,6.231487810435179,0.4898610161768056,0.6265664160401002,0,0,0,51.69742538163591,behavior_clone_8198,True,0.7:1
75,4210,118942.79088969168,40,24,0,92,66883.35907966977,4.447743467933492,0.0,0,2.0665083135391926,0.6175771971496438,1.1045130641330163,0,0,0,91.76365795724465,behavior_clone_8198,True,0.7:1
76,3420,82376.0965119954,40,26,6,80,29922.049583947042,4.283625730994152,70.55555555555556,0,4.049707602339181,0.131578947368421,0.0,0,0,0,20.97953216374269,behavior_clone_8198,True,0.7:1
77,5000,131350.6279950103,39,26,6,82,39154.90987301658,0.0,77.34,0,1.54,0.1699999999999999,0.18,0,0,0,20.770000000000003,behavior_clone_8198,True,0.7:1
78,3420,79978.02345996867,40,26,7,78,45795.314703359196,4.883040935672514,73.87426900584796,0,3.3625730994152043,0.2631578947368421,0.6286549707602338,0,0,0,16.98830409356725,behavior_clone_8198,True,0.7:1
79,3420,88029.0976514049,40,26,4,86,23784.418720116133,1.2426900584795322,49.7953216374269,0,2.39766081871345,0.0292397660818713,0.0,0,0,0,46.53508771929825,behavior_clone_8198,True,0.7:1
80,3420,81433.93939425601,40,26,7,82,36748.70228510256,7.602339181286549,72.83625730994152,0,3.4941520467836256,0.2339181286549707,0.8771929824561403,0,0,0,14.956140350877192,behavior_clone_8198,True,0.7:1
81,3420,87215.26096290519,40,26,4,88,32660.814439868147,7.412280701754385,69.94152046783626,0,4.707602339181287,0.1461988304093567,0.0,0,0,0,17.792397660818715,behavior_clone_8198,True,0.7:1
82,2905,76790.41605091981,40,24,1,96,36506.45404956665,4.199655765920826,0.0,0,2.9173838209982788,0.1635111876075731,0.3614457831325302,0,0,0,92.3580034423408,behavior_clone_8198,True,0.7:1
83,2899,73343.61346191746,40,24,3,90,19553.962115093032,7.088651259054847,0.1293549499827526,0,2.561228009658503,0.4225595032769921,0.8020006898930666,0,0,0,88.99620558813382,behavior_clone_8198,True,0.7:1
84,2942,79674.97575910862,40,23,1,90,36458.75698756782,0.7545887151597553,0.0,0,1.1896668932698846,0.4214819850441876,0.3670972127804214,0,0,0,97.26716519374575,behavior_clone_8198,True,0.7:1
85,4178,116958.62180153011,40,24,0,96,44468.67842807945,0.9514121589277166,0.0,0,1.3882240306366684,0.1735280038295835,0.0598372426998563,0,0,0,97.42699856390615,behavior_clone_8198,True,0.7:1
86,2893,71742.88856775252,40,22,3,88,66249.09733427284,6.342896647079155,12.374697545800206,0,1.8896186196566425,0.2995736836041018,0.5012098167991704,0,0,0,78.59200368706072,behavior_clone_8198,True,0.7:1
87,2943,73524.08075943656,40,23,3,90,55081.653778204665,2.562011552837241,0.0,0,2.201834862385321,0.2990146109412164,0.3058103975535167,0,0,0,94.6313285762827,behavior_clone_8198,True,0.7:1
88,3420,83728.44757682306,40,26,6,86,75073.53867611675,5.789473684210527,65.73099415204678,0,3.3771929824561404,0.043859649122807,1.4766081871345027,0,0,0,23.58187134502924,behavior_clone_8198,True,0.7:1
89,3420,78438.4684182156,40,26,8,80,16815.72101609876,4.093567251461988,70.87719298245614,0,5.453216374269006,0.672514619883041,0.4093567251461988,0,0,0,18.494152046783626,behavior_clone_8198,True,0.7:1
90,2454,63665.01614581301,40,20,1,92,57981.40343439447,4.946006519967401,0.0,0,2.495925020374898,0.4839038304808476,1.0696821515892423,0,0,0,91.00448247758762,behavior_clone_8198,True,0.7:1
91,2863,74297.40130405627,40,22,2,90,40354.464880230254,5.833042263360112,0.4307835603679124,0,2.881592734893468,0.5413901501921062,0.6112469437652812,0,0,0,89.70194434742112,behavior_clone_8198,True,0.7:1
92,2906,71842.88238153653,40,22,3,86,81624.3345598393,6.842165634319799,0.040146822665749,0,1.4338150952053226,0.3670566643725625,0.5391144757972011,0,0,0,90.77770130763936,behavior_clone_8198,True,0.7:1
93,2362,60098.71859077182,40,18,1,94,25974.449391884875,5.690093141405589,0.0,0,1.104995766299746,0.9737510584250636,1.172734970364098,0,0,0,91.0584250635055,behavior_clone_8198,True,0.7:1
94,2837,74990.51681349958,40,21,1,92,22144.592009206586,5.216778286922806,0.0,0,3.1723651744800847,0.2165265119089581,0.4179465229870588,0,0,0,90.9763835037011,behavior_clone_8198,True,0.7:1
95,2845,71760.09936607735,40,21,1,96,28724.109909980467,5.588752196836555,0.0,0,2.8722068792367565,0.4569420035149384,0.7280944012051218,0,0,0,90.35400451920664,behavior_clone_8198,True,0.7:1
96,5000,136313.18056409454,39,26,2,88,-9594.841685324394,3.63,71.21000000000001,0,4.02,0.0,0.11,0,0,0,21.03,behavior_clone_8198,True,0.7:1
97,2941,78028.92383529438,40,23,1,96,24803.62679335004,2.257735464127848,0.0,0,2.3733424005440327,0.3672220333219993,0.4284257055423325,0,0,0,94.5732743964638,behavior_clone_8198,True,0.7:1
98,5000,131865.1413164909,39,26,5,86,17442.659496685097,2.12,70.64000000000001,0,3.75,0.15,0.0,0,0,0,23.34,behavior_clone_8198,True,0.7:1
99,2348,57689.40062790851,40,19,2,92,43124.331470678415,5.815824342229794,0.0,0,1.81241718720424,0.8754495551769829,1.485898163922014,0,0,0,90.01041075146696,behavior_clone_8198,True,0.7:1
100,2868,72236.05220943356,40,23,3,90,44831.67117826683,5.369595536959554,0.0,0,1.799163179916318,0.2580195258019526,0.4672245467224546,0,0,0,92.10599721059972,behavior_clone_8198,True,0.7:1
101,2963,74698.45037855807,40,26,3,86,70491.17693745198,4.303071211609855,16.38542018224772,0,4.235572055349309,0.1518731015862301,0.0,0,0,0,74.92406344920688,behavior_clone_8198,True,0.7:1
102,2876,68531.22783374198,40,23,4,86,56436.816811973105,7.280945757997218,0.0,0,3.699582753824757,0.2225312934631432,0.4381084840055633,0,0,0,88.35883171070931,behavior_clone_8198,True,0.7:1
103,2957,73041.65012837766,40,24,4,84,22296.428886354366,1.8177206628339533,0.0,0,1.2766317213391951,0.3466351031450794,0.7355427798444368,0,0,0,95.82346973283732,behavior_clone_8198,True,0.7:1
104,2935,77186.96354646127,40,24,2,94,16871.522262662715,3.5434412265758093,0.0,0,2.7597955706984667,0.4088586030664395,0.0170357751277683,0,0,0,93.2708688245315,behavior_clone_8198,True,0.7:1
105,2983,73652.24857901385,40,24,4,84,44114.06451211384,2.7237680187730477,0.2095206168286959,0,1.4750251424740195,0.6034193764666445,0.1257123700972175,0,0,0,94.86255447536035,behavior_clone_8198,True,0.7:1
106,3420,69663.71393485767,40,26,12,74,5569.44358750273,6.1988304093567255,76.05263157894737,0,2.93859649122807,0.0146198830409356,0.0292397660818713,0,0,0,14.76608187134503,behavior_clone_8198,True,0.7:1
107,3420,72244.70538215071,40,26,12,68,67898.53947434774,1.871345029239766,79.86842105263159,0,2.807017543859649,0.2923976608187135,1.1257309941520468,0,0,0,14.035087719298245,behavior_clone_8198,True,0.7:1
108,3381,90954.41105081976,40,25,2,90,57523.223424121774,0.9859016070196194,0.0,0,1.1535048802129546,0.1676032731933352,0.1380262249827467,0,0,0,97.55496401459136,behavior_clone_8198,True,0.7:1
109,2426,64537.8457288576,40,20,0,98,29501.220472163935,6.703421269579555,0.0,0,1.3190436933223413,0.5100989282769992,1.236603462489695,0,0,0,90.2308326463314,behavior_clone_8198,True,0.7:1
110,3420,82328.30407883269,40,26,8,80,-1549.496571192099,9.45906432748538,67.26608187134502,0,4.298245614035087,1.301169590643275,1.4035087719298245,0,0,0,16.271929824561404,behavior_clone_8198,True,0.7:1
111,2894,78610.90395589313,40,23,0,96,62400.95059408067,2.418797512093988,0.0,0,2.1354526606772635,0.3248099516240497,0.2971665514858328,0,0,0,94.82377332411886,behavior_clone_8198,True,0.7:1
112,2926,79542.58888868902,40,26,0,92,31193.689641746034,4.511278195488722,13.77306903622693,0,4.9555707450444295,0.2734107997265892,0.4955570745044429,0,0,0,75.9911141490089,behavior_clone_8198,True,0.7:1
113,2880,76323.05817728491,40,21,1,94,63462.39718693595,3.0357142857142856,0.0,0,2.013888888888889,0.4414682539682539,0.873015873015873,0,0,0,93.6359126984127,behavior_clone_8198,True,0.7:1
114,2858,79431.46724902916,40,22,0,98,5413.570597849141,2.939118264520644,0.0,0,1.4345696291112666,1.0380219267553068,2.2043386983904827,0,0,0,92.38395148122233,behavior_clone_8198,True,0.7:1
115,5000,133311.87404568846,39,26,5,86,20356.184059782507,1.34,61.71,0,2.6900000000000004,0.0,0.06,0,0,0,34.2,behavior_clone_8198,True,0.7:1
116,2894,76375.23449801447,40,22,3,88,36368.817677870335,4.209859479382631,0.0,0,1.336097673347155,0.414651002073255,0.3397834600322506,0,0,0,93.69960838516472,behavior_clone_8198,True,0.7:1
117,3393,80125.7801074713,40,26,6,82,34478.58705875635,4.936634246979075,3.551429413498379,0,2.770409666961391,0.1178897730621868,0.1768346595932802,0,0,0,88.44680223990568,behavior_clone_8198,True,0.7:1
118,2943,79485.23654277886,40,24,1,90,26162.155303717558,4.36629289840299,0.0,0,1.7753992524634727,0.2973156642881414,0.8409785932721713,0,0,0,92.72001359157322,behavior_clone_8198,True,0.7:1
119,3246,84217.58377761564,40,24,2,94,47940.52522847659,4.775107825015404,8.271719038817006,0,2.3490449784349967,0.6623536660505237,0.7162661737523105,0,0,0,83.22550831792977,behavior_clone_8198,True,0.7:1
120,2481,63097.18232949055,40,22,1,92,16943.630021565194,4.41354292623942,0.0,0,1.4980518608088138,0.752384791078866,0.9136101034529088,0,0,0,92.42241031842,behavior_clone_8198,True,0.7:1
