episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD,state HOLD - JOYSTICK,state HOLD - NO JOYSTICK,state HOLD - BC
0,2928,74554.35781739224,40,25,2,96,3459.079472863963,3.882058287795993,21.721311475409838,0,4.462659380692168,0.7399817850637523,0.1366120218579235,0,0,0,69.05737704918033
1,2926,79288.02029477614,40,26,0,100,4552.098456596624,2.4777853725222148,39.080656185919345,0,4.289131920710868,0,0.4784688995215311,0,0,0,53.673957621326046
2,3014,77813.965162422,40,26,1,98,3934.428648207504,2.770404777704048,39.76443264764433,0,4.014598540145985,0.7299270072992701,0.13271400132714,0,0,0,52.587923025879235
3,2319,58909.71483588479,40,18,1,98,11405.91301956705,3.2384648555411815,0,0,1.5394566623544632,0.8106942647692972,1.3626563173781803,0,0,0,93.04872789995689
4,3404,85320.34797302428,40,25,6,88,3469.3908485036595,4.308656482569527,26.390520955738342,0,2.7124951037994514,0.4700352526439483,0.763807285546416,0,0,0,65.35448491970232
5,2877,74696.42823648966,40,24,1,98,5098.604762081301,6.699687174139729,0,0,2.519986096628432,0.38234271810914144,1.0340632603406326,0,0,0,89.36392075078206
6,3420,90688.14412211963,40,26,3,94,1470.6752348435589,0.04385964912280702,48.28947368421052,0,2.5292397660818713,0.39473684210526316,0.014619883040935673,0,0,0,48.728070175438596
7,3384,93046.04509892283,40,24,1,98,4093.9794281219056,0.9308510638297873,0,0,0.9530141843971631,0.4949763593380615,0.4802009456264775,0,0,0,97.1409574468085
8,2837,77166.87057859312,40,22,0,100,8461.187560288974,3.095993420279638,0,0,2.020914111150276,0.3701092703560098,0.8988367994360239,0,0,0,93.61414639877806
9,3420,83068.2046030365,40,26,6,88,3916.2723653483954,12.222222222222221,40.599415204678365,0,4.502923976608187,0.4385964912280702,0.11695906432748539,0,0,0,42.119883040935676
