episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD
0,1142,16843.916431091126,40,25,3,94,2755.9999999999995,6.059544658493871,90.93987157034444,0,0.26853473438412134,1.0157618213660244,1.7162872154115587,0
1,970,18274.935122731666,40,25,0,100,2642.0,5.896907216494846,89.69759450171821,0,0.556701030927835,1.2233676975945016,2.625429553264605,0
2,1142,21562.67959707456,40,26,2,96,1882.0000000000011,4.891168376282212,93.4826119589692,0,0.10007505629221917,0.6317237928446335,0.8944208156117087,0
3,1030,20571.248317341757,40,19,0,100,3822.0000000000023,6.59731853906611,90.01386962552013,0,0.49930651872399445,1.1511789181692094,1.7383263985205732,0
4,1039,12270.967279841543,40,27,4,92,2118.0,4.027541274894499,90.46420374620567,0,0.6293033242022656,1.6954171910861036,3.183534463611461,0
5,968,17599.446687837582,40,23,0,100,3979.9999999999945,7.626397666504618,86.97739426349054,0,0.3949927078269325,1.6346621293145356,3.3665532328633936,0
6,997,17092.64489251509,40,28,1,98,1964.0000000000023,3.5272484119023737,90.8893346706787,0,0.3092611166833835,2.457372116349047,2.8167836843864924,0
7,1185,23364.863596929714,40,23,1,98,5066.000000000007,8.64234301315463,86.01638123603873,0,0.8140977910151402,1.4097791015140233,3.1173988582774883,0
8,1261,28091.278388867453,40,22,0,100,2552.000000000004,3.9166446382941227,93.6161776367962,0,0.13217023526301874,0.7621816900167416,1.5728257996299235,0
9,1137,16484.534481842453,40,30,3,94,2502.0000000000005,7.493403693931398,88.08267370272647,0,0.5980650835532102,0.9146877748460863,2.9111697449428324,0
10,892,16344.932228148802,40,23,0,100,2885.9999999999995,6.3241888683724605,89.42231601160644,0,1.239778422579794,1.0617251384858877,1.951991558955421,0
11,1149,23376.196635497698,40,27,0,100,1685.9999999999977,3.139854053692174,92.64912633058847,0,0.18745397335475664,1.7071701144808193,2.3163955278837784,0
12,1041,18629.86947445546,40,21,1,98,3028.000000000001,5.222710956064513,90.82865665604935,0,0.09606147934678189,1.5167602002123464,2.335810708327013,0
13,1048,18349.6168356203,40,23,1,98,4051.999999999999,8.307139649753031,87.57296811854512,0,0.5107768298158958,1.055231252806466,2.553884149079479,0
14,1133,14888.82406679566,40,30,4,92,1841.9999999999986,6.5313327449249785,91.39452780229479,0,0.6796116504854369,0.4766107678729038,0.9179170344218887,0
15,1360,24609.670708030226,40,28,3,94,2876.000000000002,5.692401960784314,90.98039215686275,0,1.0232843137254901,1.0355392156862744,1.2683823529411766,0
16,1257,25575.336265861104,40,31,1,98,2212.0000000000045,3.92468841156192,89.82586405020771,0,0.8132237249182356,2.315919738354106,3.120304074958013,0
17,1178,20314.74820408687,40,26,2,96,3165.9999999999973,6.4637399951491625,89.64952704341499,0,1.1945185544506427,0.7518796992481203,1.9403347077370845,0
18,1294,16411.612130597256,40,32,6,88,3825.9999999999973,11.292503863987635,80.05216383307574,0,3.8833075734157654,1.4683153013910355,3.3037094281298303,0
19,1384,29360.894592199496,40,24,1,98,3185.9999999999973,5.06231936416185,91.96170520231213,0,0.4335260115606937,0.8444725433526011,1.6979768786127167,0
20,1170,23614.39012399552,40,20,1,98,3506.0,4.927350427350428,91.15384615384616,0,0.46581196581196593,1.3547008547008548,2.098290598290598,0
21,1323,28024.597916582323,40,26,1,98,2347.9999999999986,4.432566677464637,92.70057229240903,0,0.26994924954108623,0.9610193283662672,1.6358924522189828,0
22,1089,20157.278831062802,40,28,1,98,3368.0,6.917661463116009,85.66727884909703,0,3.221610039791858,1.4462809917355373,2.7471686562595656,0
23,1063,22026.481648748588,40,20,0,100,5030.929910222225,6.8720602069614305,87.16368767638758,0,0.3433678269049859,1.7450611476952025,3.8758231420507996,0
24,1106,16560.7525618543,40,24,4,92,3410.835273319257,7.137206148282098,89.53435804701627,0,1.5766274864376133,0.8250452079566002,0.926763110307414,0
25,1360,29839.58781880083,40,24,1,98,3228.000000000001,4.954044117647059,91.70496323529413,0,0.4595588235294117,0.8777573529411765,2.003676470588235,0
26,918,14360.19533005238,40,26,1,98,3774.0,8.948023653906006,85.91658885776532,0,1.5328353563647679,1.6339869281045751,1.9685652038593213,0
27,833,14145.991702609293,40,20,0,100,4269.999999999999,7.65906362545018,85.12605042016806,0,0.1920768307322929,2.058823529411765,4.963985594237695,0
28,1077,19676.607949328038,40,24,1,98,2670.000000000001,5.118384401114207,90.54085422469825,0,0.26114206128133705,1.7119312906220983,2.3676880222841223,0
29,1172,25080.768973540755,40,25,0,100,2626.000000000003,4.294653014789533,91.52445961319681,0,0.34698521046643915,1.006825938566553,2.82707622298066,0
30,1415,22246.39548380143,40,30,5,90,2563.3656101366373,5.385159010600707,91.9363957597173,0,1.2226148409893995,0.5865724381625441,0.8692579505300352,0
31,1314,25558.586574252127,40,27,3,94,2372.0,5.19260039807985,92.05596534363659,0,0.5971197752019669,1.0010537407797682,1.1532607423018382,0
32,1080,12785.055519765843,40,28,5,90,1497.9999999999998,3.796296296296296,92.9320987654321,0,0.34722222222222215,1.28858024691358,1.6358024691358022,0
33,1004,20158.117081038115,40,20,0,100,3179.9999999999986,5.373505976095617,90.71713147410358,0,0.10956175298804777,1.5737051792828682,2.2260956175298805,0
34,960,11410.079346223389,40,29,3,94,2455.9999999999995,6.903409090909091,87.85037878787878,0,1.0700757575757576,1.3068181818181819,2.869318181818181,0
35,1711,34861.68010621297,40,27,4,92,3146.6159791379737,5.408443105696174,91.88958323967091,0,0.7642853931573975,0.957604639661916,0.9800836218136042,0
36,1045,18368.83417173194,40,26,1,98,3058.000000000002,6.377306903622693,89.53520164046479,0,1.0252904989747096,1.2918660287081343,1.7703349282296648,0
37,1293,26585.51402007764,40,27,1,98,1732.0000000000014,3.010292105419716,93.37854720685348,0,0.23201856148491878,1.4694508894044855,1.9096912368374086,0
38,1203,24128.53230954445,40,25,2,96,3738.0000000000023,7.758381823219729,87.91354945968413,0,0.5320033250207814,1.7290108063175396,2.0670545857578277,0
39,1146,17246.22534474488,40,28,3,94,2774.000000000004,6.195462478184991,87.77632344386272,0,0.6108202443280978,2.1378708551483423,3.2795229784758577,0
40,958,18006.85592815455,40,23,0,100,3651.917223427707,7.64460272626796,87.44934299398255,0,1.2341888738794056,1.1543657128822302,2.5174996929878417,0
41,1136,21844.75264025249,40,29,1,98,3114.0,7.906530089628681,86.65973111395647,0,2.1606914212548016,0.880281690140845,2.3927656850192065,0
42,1382,32097.798278348662,40,27,0,100,2829.9999999999977,4.102193031281309,90.87164644328175,0,1.591895803183791,1.252365579427808,2.1818991428253365,0
43,951,18019.305561492158,40,25,0,100,3711.9999999999973,6.890991938310551,86.26007711181212,0,0.651945320715037,2.390466175955135,3.8065194532071502,0
44,1008,17234.16296423898,40,24,1,98,3882.1209121616052,8.048115079365077,86.15451388888889,0,1.6679067460317458,1.7547123015873012,2.374751984126984,0
