episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD
0,1232,17245.603089187818,40,24,4,92,2737.999999999998,18.56737012987013,70.41396103896105,0,6.777597402597403,1.8060064935064934,2.435064935064935,0
1,1322,18529.98738333956,40,22,5,90,3223.9999999999964,15.305093292990419,78.79475542107919,0,3.8830055471507814,0.8825012607160867,1.13464447806354,0
2,1362,19762.070827311556,40,25,5,90,1839.9999999999966,10.30347528144885,84.26333822809595,0,2.4963289280469896,0.5139500734214391,2.422907488986784,0
3,1356,28549.59085082521,40,20,1,98,2999.9999999999986,8.075221238938052,85.68399705014748,0,3.779498525073746,0.48856932153392335,1.9727138643067847,0
4,1371,27234.087439916388,40,23,2,96,1805.9999999999989,6.593727206418673,88.09628008752736,0,3.7490882567469006,0.48140043763676155,1.0795040116703136,0
5,1213,18918.37144674536,40,24,3,94,1515.9999999999989,10.016488046166529,83.28524319868094,0,1.3190436933223413,1.0923330585325641,4.286892003297609,0
6,1398,16280.795623780115,40,21,8,84,3595.999999999998,12.752912323727776,84.21213979153895,0,1.4817085632536275,0.3065603923973023,1.2466789290823626,0
7,1452,20952.310211739576,40,22,6,88,1822.0000000000011,5.073461891643709,92.688246097337,0,0.2640036730945822,0.7116620752984391,1.2626262626262628,0
8,1228,15324.469911968106,40,20,5,90,2162.000000000002,6.45358306188925,87.88680781758958,0,1.781351791530945,1.109527687296417,2.768729641693811,0
9,1009,10765.519705831803,40,23,4,92,2865.9999999999973,16.33300297324083,78.07730426164518,0,4.0039643211100095,0.23785926660059464,1.3478691774033698,0
10,1124,3465.6556710050636,40,24,9,82,2417.9999999999995,18.505338078291814,73.08718861209965,0,4.2037366548042705,1.356761565836299,2.8469750889679712,0
11,1258,23519.897063888307,40,20,3,94,2637.999999999999,9.956279809220986,85.97972972972973,0,1.8879173290937996,0.9141494435612083,1.2619236883942766,0
12,1175,14120.216962898005,40,26,6,88,670.0000000000003,8.042553191489361,85.19148936170214,0,6.0,0.553191489361702,0.21276595744680848,0
13,1162,18037.993869481597,40,20,3,94,4148.000000000004,14.662220309810671,76.17254733218589,0,4.862306368330465,1.5167814113597247,2.7861445783132535,0
14,1079,16200.227182963139,40,18,3,94,3290.000000000002,9.78683966635774,84.31881371640407,0,2.1223354958294713,1.3623725671918445,2.4096385542168672,0
15,1296,2785.937108509137,40,23,12,76,1571.999999999999,8.672839506172838,87.14506172839506,0,2.7777777777777777,0.7253086419753086,0.6790123456790123,0
16,1433,15673.927405502698,40,22,9,82,1614.0000000000014,6.827169109095139,89.42777390090718,0,1.5236101418934638,1.1863224005582695,1.035124447545941,0
17,1297,13314.794348893876,40,26,8,84,1441.999999999998,14.340786430223593,71.74248265227448,0,10.562837316885119,0.4626060138781804,2.8912875867386276,0
18,1320,11952.691468265788,40,26,9,82,1402.0000000000005,12.803030303030303,72.04545454545455,0,11.969696969696969,1.4015151515151514,1.7803030303030303,0
19,1252,12085.535681855683,40,24,7,86,2055.9999999999986,13.039137380191693,79.27316293929714,0,6.2699680511182105,0.1996805111821086,1.2180511182108626,0
20,1220,8499.162635351055,40,25,9,82,1914.0,14.043715846994534,73.36065573770492,0,10.655737704918034,0.49180327868852464,1.4480874316939891,0
21,1294,11550.106225059466,40,26,9,82,840.0000000000002,7.727975270479135,82.41885625965998,0,7.5347758887171565,1.3523956723338486,0.9659969088098918,0
22,1459,27911.49443274996,40,18,4,92,2497.9999999999995,6.9362577107607954,90.76764907470871,0,0.19191226867717617,0.6716929403701165,1.4324880054832079,0
23,1390,25593.539504226148,40,18,4,92,2451.2231113726875,6.992805755395684,90.94244604316549,0,1.3165467625899276,0.2302158273381295,0.5179856115107913,0
24,1264,20918.08709688628,40,21,4,92,2318.0,9.312839059674502,86.46021699819168,0,3.3227848101265827,0.44077757685352625,0.4633815551537071,0
25,1321,7047.041901069366,40,26,11,78,1472.0000000000007,14.761544284632855,70.43906131718396,0,9.992429977289932,1.7032551097653292,3.1037093111279335,0
26,1038,12418.766828038904,40,15,4,92,4418.000000000001,12.398102860530607,84.14851044908848,0,0.9337483325922633,0.8374092189121091,1.6822291388765374,0
27,1053,7754.08630031758,40,23,7,86,2214.0,12.554605887939223,76.63817663817665,0,5.773979107312441,2.336182336182336,2.697056030389364,0
28,1295,17100.755466730803,40,23,5,90,2089.9999999999977,11.320463320463318,82.37837837837839,0,2.934362934362934,1.4826254826254825,1.8841698841698842,0
29,1299,12006.633602533137,40,24,9,82,1090.0000000000005,5.946882217090069,88.45265588914549,0,1.4819091608929944,1.058506543494996,3.0600461893764437,0
30,1432,34049.39694205904,40,17,0,100,4007.8338759273665,9.535297105129507,86.10335195530726,0,1.8791264601320465,1.11731843575419,1.3649060436769933,0
31,1457,24776.976909565758,40,21,5,90,2426.0,8.951858025296598,87.32228649867635,0,2.3335621139327385,0.784390626532013,0.6079027355623101,0
32,1458,27158.045696650803,40,22,4,92,1815.9999999999986,7.361682670324646,88.80887059899406,0,1.954732510288066,0.8116140832190215,1.0631001371742113,0
33,1524,25750.400647684095,40,23,6,88,2691.9999999999973,10.958005249343831,82.04724409448819,0,5.853018372703413,0.2887139107611548,0.853018372703412,0
34,1653,19232.08714344901,40,24,10,80,1448.0000000000014,7.758620689655173,88.2183908045977,0,2.586206896551724,0.8318209316394434,0.6049606775559588,0
35,1150,13047.484932983858,40,21,6,88,2976.000000000001,13.329192546583851,80.73291925465838,0,3.639751552795031,0.782608695652174,1.515527950310559,0
36,1468,16638.495017812762,40,26,9,82,1203.999999999999,7.867847411444142,78.26975476839237,0,10.69482288828338,1.226158038147139,1.94141689373297,0
37,1248,15940.426408778623,40,20,6,88,3545.389531362179,13.721955128205128,81.83092948717949,0,2.694310897435897,0.4006410256410256,1.3521634615384615,0
38,1456,19677.170354259306,40,21,8,84,2660.0000000000005,8.948194662480375,86.19505494505493,0,3.5321821036106753,0.7554945054945055,0.5690737833594977,0
39,1372,7003.6985507114405,40,26,12,76,1314.0,9.912536443148689,74.63556851311954,0,11.479591836734695,1.4212827988338192,2.5510204081632653,0
