episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD
0,1142,16843.916431091126,40,25,3,94,2755.9999999999995,6.059544658493871,90.93987157034444,0,0.26853473438412134,1.0157618213660244,1.7162872154115587,0
1,970,18274.935122731666,40,25,0,100,2642.0,5.896907216494846,89.69759450171821,0,0.556701030927835,1.2233676975945016,2.625429553264605,0
2,1142,21562.679595596484,40,26,2,96,1884.0000000000014,4.878658994245685,93.47635726795095,0,0.10007505629221917,0.6317237928446335,0.9131848886664998,0
3,1028,20503.9420190805,40,19,0,100,3822.000000000002,6.610153789142116,89.99444135630905,0,0.500277932184547,1.1534185658699279,1.7417083564943485,0
4,1039,12270.967279841543,40,27,4,92,2118.0,4.027541274894499,90.46420374620567,0,0.6293033242022656,1.6954171910861036,3.183534463611461,0
5,968,17599.446687837582,40,23,0,100,3979.9999999999945,7.626397666504618,86.97739426349054,0,0.3949927078269325,1.6346621293145356,3.3665532328633936,0
6,997,17092.64489251509,40,28,1,98,1964.0000000000023,3.5272484119023737,90.8893346706787,0,0.3092611166833835,2.457372116349047,2.8167836843864924,0
7,1185,23364.863596929714,40,23,1,98,5066.000000000007,8.64234301315463,86.01638123603873,0,0.8140977910151402,1.4097791015140233,3.1173988582774883,0
8,1253,27821.33986116892,40,22,0,100,2696.0000000000045,4.163341314179303,93.2561851556265,0,0.2305577724572138,0.7670479737518843,1.5828677839851024,0
9,1137,16484.534481842453,40,30,3,94,2502.0000000000005,7.493403693931398,88.08267370272647,0,0.5980650835532102,0.9146877748460863,2.9111697449428324,0
10,892,16344.932228148802,40,23,0,100,2885.9999999999995,6.3241888683724605,89.42231601160644,0,1.239778422579794,1.0617251384858877,1.951991558955421,0
11,1149,23376.196635497698,40,27,0,100,1685.9999999999977,3.139854053692174,92.64912633058847,0,0.18745397335475664,1.7071701144808193,2.3163955278837784,0
12,1041,18629.86947445546,40,21,1,98,3028.000000000001,5.222710956064513,90.82865665604935,0,0.09606147934678189,1.5167602002123464,2.335810708327013,0
13,1048,18349.6168356203,40,23,1,98,4051.999999999999,8.307139649753031,87.57296811854512,0,0.5107768298158958,1.055231252806466,2.553884149079479,0
14,1133,14888.82406679566,40,30,4,92,1841.9999999999986,6.5313327449249785,91.39452780229479,0,0.6796116504854369,0.4766107678729038,0.9179170344218887,0
15,1360,24609.670708030226,40,28,3,94,2876.000000000002,5.692401960784314,90.98039215686275,0,1.0232843137254901,1.0355392156862744,1.2683823529411766,0
16,1257,25575.336265861104,40,31,1,98,2212.0000000000045,3.92468841156192,89.82586405020771,0,0.8132237249182356,2.315919738354106,3.120304074958013,0
17,1288,26039.993522168417,40,26,1,98,2073.999999999997,3.7988021295474717,93.46716947648623,0,0.26064773735581187,0.7819432120674357,1.6914374445430345,0
18,1195,8276.951355336927,40,32,8,84,1450.0000000000005,4.456066945606695,93.17991631799163,0,0.9518828451882845,0.34518828451882844,1.0669456066945606,0
19,1129,23437.699822359766,40,26,0,100,2712.0000000000005,5.137289636846766,90.62381374161713,0,0.9173731494369226,1.2716689864608377,2.049854485638365,0
20,1136,21899.41903707644,40,18,1,98,5179.999999999997,7.902528809218949,88.76440460947504,0,0.24407810499359797,0.8722791293213831,2.216709346991037,0
21,1114,14605.70881858646,40,26,5,90,2864.000000000001,7.072326237496794,89.8756091305463,0,1.0259040779687099,0.9425493716337522,1.0836111823544499,0
22,1084,22208.664875896,40,28,0,100,2727.9999999999964,2.8136531365313653,90.88253382533826,0,0.8686961869618695,1.4452644526445266,3.9898523985239853,0
23,985,18110.797070062967,40,16,1,98,5440.062156244425,7.990693739424703,88.81979695431473,0,0.3130287648054145,0.8037225042301185,2.0727580372250425,0
24,1169,20779.19668156301,40,26,3,94,2644.000000000001,5.969693266528168,91.02407430037883,0,1.002077477697666,0.8982035928143713,1.1059513625809605,0
25,1240,25025.470151035617,40,23,1,98,3780.0000000000014,6.78842504743833,90.17552182163186,0,0.6783681214421253,0.8586337760910816,1.4990512333965842,0
26,1081,19211.134550829574,40,27,1,98,2489.999999999999,6.610688109300506,90.58564007685192,0,0.5265779548850781,0.5550416281221091,1.72205223084039,0
27,1097,22815.762293733063,40,22,0,100,3093.9999999999964,4.492049022586853,90.61075660893346,0,0.5520105337789932,1.5547452648637703,2.7904385698369287,0
28,1024,16286.902863177263,40,24,2,96,3316.0000000000005,6.40869140625,88.214111328125,0,0.4150390625,1.666259765625,3.2958984375,0
29,1028,18104.68923300592,40,25,1,98,2802.0,5.324254215304799,89.59143968871594,0,0.7133592736705578,1.906614785992218,2.4643320363164722,0
30,1345,19513.508626664337,40,29,6,88,1519.9999999999993,3.5822913146333217,94.1331530922609,0,0.07434944237918216,0.729976343359243,1.4802298073673539,0
31,1593,36918.8657969367,40,25,2,96,3288.0000000000014,4.682988072818582,92.20757480644487,0,0.6863360535676918,0.9123247541326637,1.5107763130362002,0
32,1317,18396.104427620034,40,29,6,88,1405.9999999999986,2.574722164699385,93.9048802374543,0,0.34513701939670055,1.242493269828122,1.9327673086215227,0
33,1077,22444.880653915327,40,18,0,100,4504.987925142711,6.930024478770997,89.21245885034186,0,0.2110238879041107,1.2154975943276778,2.4309951886553556,0
34,1174,16863.13083702693,40,27,4,92,3637.6801929861626,9.297601887039708,87.38697418424846,0,1.9329052548814047,0.43244659939719565,0.9500720744332329,0
35,1576,31694.001837804248,40,31,4,92,1950.000000000001,5.520304568527918,92.39283699943599,0,0.535815002820079,0.7332205301748451,0.8178228990411732,0
36,1074,18177.68328251123,40,25,2,96,4030.0689564924514,7.920546244568591,86.78460583488516,0,1.042830540037244,1.3904407200496587,2.8615766604593427,0
37,995,19345.958296376197,40,26,0,100,2445.999999999998,3.6683417085427137,90.81119885139987,0,0.7035175879396984,1.3280689160086145,3.4888729361091175,0
38,1253,25662.980255759347,40,23,1,98,2817.999999999996,4.384770668043753,92.20224402610206,0,0.32392845406318954,1.1830430496220836,1.9060138021689124,0
39,1328,17318.293335228704,40,27,7,86,1892.0000000000007,4.193697868396663,93.76158480074143,0,0.08688600556070437,0.7588044485634846,1.1990268767377201,0
40,1321,28150.172269379796,40,22,1,98,3603.999999999998,4.806964420893262,91.36596854235007,0,0.5130793170157288,1.0555976112372785,2.2583901085036593,0
41,1152,24669.89117431873,40,30,0,100,2257.9999999999977,3.0555555555555554,91.20659722222221,0,0.6336805555555556,1.423611111111111,3.680555555555556,0
42,1053,19445.528679917174,40,24,1,98,4340.795215093072,9.526353276353277,85.49382716049382,0,0.9081196581196581,1.519468186134853,2.552231718898385,0
43,1105,17938.238487666807,40,27,2,96,3302.0000000000027,8.659937347720152,87.35120083536374,0,0.8353637312913331,1.1555864949530108,1.9979115906717717,0
44,1463,35001.40734749442,40,24,0,100,2661.9999999999995,3.298017771701982,93.58339029391662,0,0.6151742993848258,1.2602529049897473,1.2431647300068354,0
