episode,steps,accumulated_reward,enemies_shotdown,friends_shotdown,sucessful_attacks,interest_point_health,total_distance_traveled,state PURSUING,state HOLD - WAIT,state HOLD - RETURN,state HOLD - NO ENOUGH COMM,state HOLD - INTCPT,state GO HOLD INTCPT,state HOLD - SPREAD
0,1232,17245.603089187818,40,24,4,92,2737.999999999998,18.56737012987013,70.41396103896105,0,6.777597402597403,1.8060064935064934,2.435064935064935,0
1,1322,18529.98738333956,40,22,5,90,3223.9999999999964,15.305093292990419,78.79475542107919,0,3.8830055471507814,0.8825012607160867,1.13464447806354,0
2,1362,19761.22217948246,40,25,5,90,1845.999999999997,10.352422907488988,84.18991678903573,0,2.520802741067058,0.5139500734214391,2.422907488986784,0
3,1355,28515.952711206184,40,20,1,98,2999.999999999999,8.071955719557195,85.67343173431736,0,3.791512915129151,0.4889298892988929,1.9741697416974167,0
4,1371,27234.087439916388,40,23,2,96,1805.9999999999989,6.593727206418673,88.09628008752736,0,3.7490882567469006,0.48140043763676155,1.0795040116703136,0
5,1213,18918.37144674536,40,24,3,94,1515.9999999999989,10.016488046166529,83.28524319868094,0,1.3190436933223413,1.0923330585325641,4.286892003297609,0
6,1398,16280.795623780115,40,21,8,84,3595.999999999998,12.752912323727776,84.21213979153895,0,1.4817085632536275,0.3065603923973023,1.2466789290823626,0
7,1450,20885.821299594758,40,22,6,88,1820.0000000000007,5.057471264367816,92.70114942528735,0,0.264367816091954,0.7011494252873562,1.2758620689655171,0
8,1228,15324.469911968106,40,20,5,90,2162.000000000002,6.45358306188925,87.88680781758958,0,1.781351791530945,1.109527687296417,2.768729641693811,0
9,1009,10765.519705831803,40,23,4,92,2865.9999999999973,16.33300297324083,78.07730426164518,0,4.0039643211100095,0.23785926660059464,1.3478691774033698,0
10,1124,3465.6556710050636,40,24,9,82,2417.9999999999995,18.505338078291814,73.08718861209965,0,4.2037366548042705,1.356761565836299,2.8469750889679712,0
11,1258,23519.897063888307,40,20,3,94,2637.999999999999,9.956279809220986,85.97972972972973,0,1.8879173290937996,0.9141494435612083,1.2619236883942766,0
12,1175,14120.216962898005,40,26,6,88,670.0000000000003,8.042553191489361,85.19148936170214,0,6.0,0.553191489361702,0.21276595744680848,0
13,1162,18037.993869481597,40,20,3,94,4148.000000000004,14.662220309810671,76.17254733218589,0,4.862306368330465,1.5167814113597247,2.7861445783132535,0
14,1079,16200.227182963139,40,18,3,94,3290.000000000002,9.78683966635774,84.31881371640407,0,2.1223354958294713,1.3623725671918445,2.4096385542168672,0
15,1323,6023.967678881005,40,23,11,78,1340.000000000001,7.921390778533636,89.3121693121693,0,1.9198790627362055,0.5593348450491308,0.2872260015117158,0
16,1337,15019.280802321906,40,23,7,86,2278.0000000000005,10.471204188481677,81.09199700822738,0,5.0411368735976065,1.869857890800299,1.5258040388930443,0
17,1336,10402.56240492743,40,24,10,80,1547.9999999999995,11.452095808383234,85.04865269461078,0,2.413922155688623,0.46781437125748504,0.6175149700598802,0
18,1285,6507.190698011528,40,25,11,78,1965.9999999999984,14.319066147859923,73.5408560311284,0,10.53177691309987,0.959792477302205,0.6485084306095981,0
19,1309,20005.43325813584,40,24,5,90,1412.0000000000005,8.30786860198625,86.05805958747136,0,4.220779220779221,0.4583651642475172,0.9549274255156608,0
20,1225,6921.084859684047,40,22,10,80,1171.9999999999973,6.299319727891157,91.02040816326532,0,0.8979591836734693,1.0068027210884356,0.7755102040816326,0
21,1226,2376.160594325987,40,24,12,76,1571.999999999999,11.929037520391518,83.23817292006525,0,3.568515497553018,0.7340946166394781,0.5301794453507341,0
22,1286,20199.568063725495,40,20,4,92,4973.999999999998,13.919129082426128,78.54782270606532,0,3.7325038880248833,1.108087091757387,2.692457231726283,0
23,1576,35773.60800009052,40,18,1,98,4190.000000000002,8.185279187817258,87.96954314720813,0,2.2271573604060912,0.6535532994923859,0.9644670050761422,0
24,1276,22828.31918225524,40,25,2,96,2845.9999999999945,18.599791013584117,67.99895506792058,0,8.20271682340648,1.9592476489028212,3.239289446185998,0
25,1397,11947.180452708746,40,26,10,80,1493.9999999999982,12.992125984251969,72.94201861130995,0,12.634216177523264,0.322118826055834,1.1095204008589834,0
26,1038,12418.766828038904,40,15,4,92,4418.000000000001,12.398102860530607,84.14851044908848,0,0.9337483325922633,0.8374092189121091,1.6822291388765374,0
27,1053,7754.08630031758,40,23,7,86,2214.0,12.554605887939223,76.63817663817665,0,5.773979107312441,2.336182336182336,2.697056030389364,0
28,1295,17100.755466730803,40,23,5,90,2089.9999999999977,11.320463320463318,82.37837837837839,0,2.934362934362934,1.4826254826254825,1.8841698841698842,0
29,1299,12006.633602533137,40,24,9,82,1090.0000000000005,5.946882217090069,88.45265588914549,0,1.4819091608929944,1.058506543494996,3.0600461893764437,0
30,1432,34049.39694205904,40,17,0,100,4005.8338759273665,9.535297105129507,86.10970035551041,0,1.8727780599288977,1.11731843575419,1.3649060436769933,0
31,1457,24776.976909565758,40,21,5,90,2426.0,8.951858025296598,87.32228649867635,0,2.3335621139327385,0.784390626532013,0.6079027355623101,0
32,1458,27158.045696650803,40,22,4,92,1815.9999999999986,7.361682670324646,88.80887059899406,0,1.954732510288066,0.8116140832190215,1.0631001371742113,0
33,1574,27585.593870956767,40,22,5,90,3213.9999999999973,10.66285472257518,82.63447691656077,0,5.453197797543414,0.349428208386277,0.9000423549343499,0
34,1219,2496.180043402799,40,25,12,76,1403.999999999999,13.2895816242822,79.7374897456932,0,5.031446540880503,1.066447908121411,0.8750341810226963,0
35,1011,13510.491578343639,40,22,3,94,2648.000000000002,11.358391031981535,78.2558522914606,0,2.621167161226509,2.522255192878338,5.242334322453017,0
36,1215,6557.729701850914,40,24,10,80,886.0000000000003,6.337448559670782,89.69135802469137,0,1.5020576131687242,1.1934156378600824,1.2757201646090537,0
37,1161,11665.374833580501,40,20,7,86,3275.999999999999,13.189061154177434,80.90008613264426,0,2.616279069767442,1.4642549526270456,1.830318690783807,0
38,1432,21861.368363369038,40,23,6,88,1651.9999999999993,6.871508379888269,87.96089385474859,0,4.315642458100559,0.5027932960893855,0.34916201117318435,0
39,1510,9718.7928276807,40,26,13,74,1025.999999999998,7.682119205298013,81.42384105960264,0,6.026490066225165,1.5894039735099337,3.2781456953642385,0
